date,death,death_avg
2022-08-27,40,29.2857
2022-08-28,31,30.0
2022-08-29,22,29.8571
2022-08-30,27,31.4286
2022-08-31,21,31.8571
2022-09-01,36,31.7143
2022-09-02,36,30.4286
2022-09-03,42,30.7143
2022-09-04,35,31.2857
2022-09-05,31,32.5714
2022-09-06,21,31.7143
2022-09-07,26,32.4286
2022-09-08,29,31.4286
2022-09-09,55,34.1429
2022-09-10,30,32.4286
