date,interpolated,total,AZ,Moderna,Medigen,Pfizer,Novavax,total_avg,AZ_avg,Moderna_avg,Medigen_avg,Pfizer_avg,Novavax_avg
2023-01-22,1,245,1,24,0,170,50,5834.2857,7.0,792.1429,1.1429,3764.1429,1269.7143
2023-01-23,1,245,1,25,0,171,49,5401.2857,7.2857,733.8571,1.0,3547.0,1112.0
2023-01-24,1,245,0,24,0,170,50,4212.2857,3.4286,547.5714,1.0,2754.5714,905.4286
2023-01-25,1,246,1,25,0,171,50,2982.5714,1.5714,374.1429,-0.2857,1910.4286,696.5714
2023-01-26,1,245,1,24,0,170,49,1613.8571,1.1429,199.2857,-0.1429,1040.4286,373.0
2023-01-27,1,245,0,24,0,170,50,245.1429,0.5714,24.2857,0.0,170.2857,49.5714
2023-01-28,1,245,1,25,0,171,49,245.1429,0.7143,24.4286,0.0,170.4286,49.5714
2023-01-29,1,245,1,24,0,170,50,245.1429,0.7143,24.4286,0.0,170.4286,49.5714
2023-01-30,-1,246,1,25,1,171,50,245.2857,0.7143,24.4286,0.1429,170.4286,49.7143
2023-01-31,0,3766,26,513,1,2668,558,748.2857,4.4286,94.2857,0.2857,527.2857,122.2857
2023-02-01,0,3926,12,383,7,2775,749,1274.0,6.0,145.4286,1.2857,899.2857,222.1429
2023-02-02,0,4258,3,317,-1,3174,765,1847.2857,6.2857,187.2857,1.1429,1328.4286,324.4286
2023-02-03,0,4686,6,262,1,3532,885,2481.7143,7.1429,221.2857,1.2857,1808.7143,443.7143
2023-02-04,0,5140,1,567,0,3303,1269,3181.0,7.1429,298.7143,1.2857,2256.1429,618.0
2023-02-05,1,1964,2,319,0,1354,288,3426.5714,7.2857,340.8571,1.2857,2425.2857,652.0
2023-02-06,-1,1964,3,320,0,1354,288,3672.0,7.5714,383.0,1.1429,2594.2857,686.0
2023-02-07,0,5175,16,557,-8,3835,775,3873.2857,6.1429,389.2857,-0.1429,2761.0,717.0
2023-02-08,0,5540,4,690,-5,4018,833,4103.8571,5.0,433.1429,-1.8571,2938.5714,729.0
2023-02-09,0,4604,4,752,1,2928,919,4153.2857,5.1429,495.2857,-1.5714,2903.4286,751.0
2023-02-10,0,12432,4,1550,0,8110,2768,5259.8571,4.8571,679.2857,-1.7143,3557.4286,1020.0
2023-02-11,1,1056,-13,206,-1,626,235,4676.4286,2.8571,627.7143,-1.8571,3175.0,872.2857
2023-02-12,1,1056,-12,207,0,627,236,4546.7143,0.8571,611.7143,-1.8571,3071.1429,864.8571
2023-02-13,-1,1057,-12,207,0,627,236,4417.1429,-1.2857,595.5714,-1.8571,2967.2857,857.4286
2023-02-14,0,4356,14,591,1,2962,788,4300.1429,-1.5714,600.4286,-0.5714,2842.5714,859.2857
2023-02-15,1,4158,3,712,-3,2692,753,4102.7143,-1.7143,603.5714,-0.2857,2653.1429,847.8571
2023-02-16,-1,4158,3,712,-3,2693,754,4039.0,-1.8571,597.8571,-0.8571,2619.5714,824.2857
2023-02-17,0,10775,18,1807,1,6270,2679,3802.2857,0.1429,634.5714,-0.7143,2356.7143,811.5714
2023-02-18,1,1103,1,255,0,590,256,3809.0,2.1429,641.5714,-0.5714,2351.5714,814.5714
2023-02-19,1,1103,2,255,0,590,256,3815.7143,4.1429,648.4286,-0.5714,2346.2857,817.4286
2023-02-20,-1,1104,2,256,0,591,256,3822.4286,6.1429,655.4286,-0.5714,2341.1429,820.2857
2023-02-21,0,3636,2,562,0,2442,630,3719.5714,4.4286,651.2857,-0.7143,2266.8571,797.7143
2023-02-22,0,3859,2,544,3,2561,749,3676.8571,4.2857,627.2857,0.1429,2248.1429,797.1429
2023-02-23,0,3326,0,608,-5,1953,770,3558.0,3.8571,612.4286,-0.1429,2142.4286,799.4286
2023-02-24,0,19094,14,2858,0,11466,4756,4746.4286,3.2857,762.5714,-0.2857,2884.7143,1096.1429
2023-02-25,1,502,0,116,-1,278,107,4660.5714,3.1429,742.7143,-0.4286,2840.1429,1074.8571
2023-02-26,1,502,0,117,0,279,108,4574.7143,2.8571,723.0,-0.4286,2795.7143,1053.7143
2023-02-27,1,503,1,116,-1,278,107,4488.8571,2.7143,703.0,-0.5714,2751.0,1032.4286
2023-02-28,1,502,0,117,0,279,108,4041.1429,2.4286,639.4286,-0.5714,2442.0,957.8571
2023-03-01,1,502,0,116,-1,278,107,3561.5714,2.1429,578.2857,-1.1429,2115.8571,866.1429
2023-03-02,-1,503,1,117,0,279,108,3158.2857,2.2857,508.1429,-0.4286,1876.7143,771.5714
2023-03-03,0,8925,1,1183,-3,5426,2318,1705.5714,0.4286,268.8571,-0.8571,1013.8571,423.2857
2023-03-04,1,756,0,153,0,392,210,1741.8571,0.4286,274.1429,-0.7143,1030.1429,438.0
2023-03-05,1,757,0,154,0,393,210,1778.2857,0.4286,279.4286,-0.7143,1046.4286,452.5714
2023-03-06,-1,757,1,154,0,393,210,1814.5714,0.4286,284.8571,-0.5714,1062.8571,467.2857
2023-03-07,0,3032,3,508,-4,1777,748,2176.0,0.8571,340.7143,-1.1429,1276.8571,558.7143
2023-03-08,0,3066,4,321,-1,1830,912,2542.2857,1.4286,370.0,-1.1429,1498.5714,673.7143
2023-03-09,0,2759,0,648,-1,1366,746,2864.5714,1.2857,445.8571,-1.2857,1653.8571,764.8571
2023-03-10,0,9178,14,1247,4,5342,2571,2900.7143,3.1429,455.0,-0.2857,1641.8571,801.0
2023-03-11,1,862,0,131,0,515,214,2915.8571,3.1429,451.8571,-0.2857,1659.4286,801.5714
2023-03-12,1,862,1,131,0,515,215,2930.8571,3.2857,448.5714,-0.2857,1676.8571,802.2857
2023-03-13,-1,862,1,132,0,516,215,2945.8571,3.2857,445.4286,-0.2857,1694.4286,803.0
2023-03-14,0,2945,0,480,-2,1816,651,2933.4286,2.8571,441.4286,0.0,1700.0,789.1429
2023-03-15,0,3099,6,331,-1,1921,842,2938.1429,3.1429,442.8571,0.0,1713.0,779.1429
2023-03-16,0,2694,2,595,-1,1371,727,2928.8571,3.4286,435.2857,0.0,1713.7143,776.4286
2023-03-17,0,8121,2,1064,-1,4617,2439,2777.8571,1.7143,409.1429,-0.7143,1610.1429,757.5714
2023-03-18,1,732,0,112,0,392,226,2759.2857,1.7143,406.4286,-0.7143,1592.5714,759.2857
2023-03-19,1,732,1,113,0,392,226,2740.7143,1.7143,403.8571,-0.7143,1575.0,760.8571
2023-03-20,-1,732,1,113,1,393,226,2722.1429,1.7143,401.1429,-0.5714,1557.4286,762.4286
2023-03-21,0,2251,3,426,5,1279,538,2623.0,2.1429,393.4286,0.4286,1480.7143,746.2857
2023-03-22,0,2079,1,336,-2,1155,589,2477.2857,1.4286,394.1429,0.2857,1371.2857,710.1429
2023-03-23,0,2141,1,534,-1,1010,597,2398.2857,1.2857,385.4286,0.2857,1319.7143,691.5714
2023-03-24,0,2764,1,381,-4,1602,784,1633.0,1.1429,287.8571,-0.1429,889.0,455.1429
2023-03-25,0,3007,1,352,2,1568,1084,1958.0,1.2857,322.1429,0.1429,1057.0,577.7143
2023-03-26,1,-7636873,-7648999,449,86,2784,8805,-1089128.4286,-1092713.0,370.1429,12.4286,1398.7143,1803.2857
2023-03-27,-1,-7636872,-7648998,450,87,2785,8806,-2180214.7143,-2185427.1429,418.2857,24.7143,1740.4286,3029.0
2023-03-28,0,2115,0,298,0,1123,694,-2180234.1429,-2185427.5714,400.0,24.0,1718.1429,3051.2857
2023-03-29,0,2153,0,243,-3,1157,756,-2180223.5714,-2185427.7143,386.7143,23.8571,1718.4286,3075.1429
2023-03-30,0,2156,0,281,2,1181,692,-2180221.4286,-2185427.8571,350.5714,24.2857,1742.8571,3088.7143
2023-03-31,0,8463,0,1028,2,4864,2569,-2179407.2857,-2185428.0,443.0,25.1429,2208.8571,3343.7143
2023-04-01,1,255,0,44,-1,118,93,-2179800.4286,-2185428.1429,399.0,24.7143,2001.7143,3202.1429
2023-04-02,1,256,0,44,0,118,94,-1088782.0,-1092714.0,341.1429,12.4286,1620.8571,1957.7143
2023-04-03,1,256,0,44,0,119,93,2236.2857,0.0,283.1429,0.0,1240.0,713.0
2023-04-04,1,255,0,44,-1,118,94,1970.5714,0.0,246.8571,-0.1429,1096.4286,627.2857
2023-04-05,1,256,0,44,0,118,93,1699.5714,0.0,218.4286,0.2857,948.0,532.5714
2023-04-06,-1,256,0,45,0,119,94,1428.1429,0.0,184.7143,0.0,796.2857,447.1429
2023-04-07,0,4504,0,529,22,2590,1363,862.5714,0.0,113.4286,2.8571,471.4286,274.8571
2023-04-08,1,385,0,70,3,173,138,881.1429,0.0,117.1429,3.4286,479.2857,281.2857
2023-04-09,1,386,0,71,3,173,139,899.7143,0.0,121.0,3.8571,487.1429,287.7143
2023-04-10,-1,386,0,71,3,174,139,918.2857,0.0,124.8571,4.2857,495.0,294.2857
2023-04-11,0,1552,0,239,-1,835,479,1103.5714,0.0,152.7143,4.2857,597.4286,349.2857
2023-04-12,,,,,,,,,,,,,
2023-04-13,,,,,,,,,,,,,
