date,interpolated,total,AZ,Moderna,Medigen,Pfizer,Novavax,total_avg,AZ_avg,Moderna_avg,Medigen_avg,Pfizer_avg,Novavax_avg
2022-05-11,0,80039,1119,70732,8343,-155,0,80067.5714,1069.0,70280.8571,8739.8571,-22.1429,0.0
2022-05-12,0,79806,947,70596,8160,103,0,77151.1429,1016.2857,68127.5714,8020.8571,-13.5714,0.0
2022-05-13,0,126793,740,118093,8019,-59,0,77152.5714,953.5714,68669.4286,7524.2857,5.2857,0.0
2022-05-14,1,44550,315,40685,3545,5,0,76312.5714,881.1429,68171.7143,7272.8571,-13.0,0.0
2022-05-15,-1,44550,315,40685,3545,5,0,75472.4286,808.7143,67673.8571,7021.2857,-31.4286,0.0
2022-05-16,0,75661,957,66968,7618,118,0,75129.7143,796.0,67576.1429,6746.4286,11.1429,0.0
2022-05-17,0,78452,781,70853,6881,-63,0,75693.0,739.1429,68373.1429,6587.2857,-6.5714,0.0
2022-05-18,0,78230,708,68424,9058,40,0,75434.5714,680.4286,68043.4286,6689.4286,21.2857,0.0
2022-05-19,0,81127,638,71315,9121,53,0,75623.2857,636.2857,68146.1429,6826.7143,14.1429,0.0
2022-05-20,0,109614,528,100559,7877,650,0,73169.1429,606.0,65641.2857,6806.4286,115.4286,0.0
2022-05-21,1,43689,278,33209,4318,5883,0,73046.1429,600.7143,64573.2857,6916.8571,955.1429,0.0
2022-05-22,-1,43689,279,33210,4318,5883,0,72923.1429,595.5714,63505.4286,7027.2857,1794.8571,0.0
2022-05-23,0,67792,480,46565,7627,13120,0,71799.0,527.4286,60590.7143,7028.5714,3652.2857,0.0
2022-05-24,0,61559,487,38891,5639,16542,0,69385.7143,485.4286,56024.7143,6851.1429,6024.4286,0.0
2022-05-25,0,92757,612,35766,6318,50061,0,71461.0,471.7143,51359.2857,6459.7143,13170.2857,0.0
2022-05-26,0,125136,385,31341,6994,86416,0,77748.0,435.5714,45648.7143,6155.8571,25507.8571,0.0
2022-05-27,0,149217,332,40586,7697,100602,0,83405.5714,407.5714,37081.1429,6130.1429,39786.7143,0.0
2022-05-28,1,75210,140,12957,2033,60079,0,87908.5714,387.8571,34188.0,5803.7143,47529.0,0.0
2022-05-29,-1,75210,141,12957,2034,60079,0,92411.5714,368.1429,31294.7143,5477.4286,55271.2857,0.0
2022-05-30,0,116728,286,24018,5851,86573,0,99402.4286,340.4286,28073.7143,5223.7143,65764.5714,0.0
2022-05-31,0,138024,346,20692,4383,112603,0,110326.0,320.2857,25473.8571,5044.2857,79487.5714,0.0
2022-06-01,0,160559,170,18070,4586,137733,0,120012.0,257.1429,22945.8571,4796.8571,92012.1429,0.0
2022-06-02,0,220905,137,20988,5457,194323,0,133693.2857,221.7143,21466.8571,4577.2857,107427.4286,0.0
2022-06-03,0,79556,30,10141,1642,67743,0,123741.7143,178.5714,17117.5714,3712.2857,102733.2857,0.0
2022-06-04,1,37354,55,6823,1697,28778,0,118333.7143,166.4286,16241.2857,3664.2857,98261.7143,0.0
2022-06-05,-1,37355,55,6824,1698,28779,0,112925.8571,154.1429,15365.1429,3616.2857,93790.2857,0.0
2022-06-06,0,116694,125,18895,4497,93177,0,112921.0,131.1429,14633.2857,3422.8571,94733.7143,0.0
2022-06-07,0,104057,128,12548,3197,88184,0,108068.5714,100.0,13469.8571,3253.4286,91245.2857,0.0
2022-06-08,0,110749,99,10310,3987,96353,0,100952.8571,89.8571,12361.2857,3167.8571,85333.8571,0.0
2022-06-09,0,113528,187,11532,4253,97556,0,85613.2857,97.0,11010.4286,2995.8571,71510.0,0.0
2022-06-10,0,164556,126,16885,6420,141125,0,97756.1429,110.7143,11973.8571,3678.4286,81993.1429,0.0
2022-06-11,1,27765,40,6548,915,20261,0,96386.2857,108.5714,11934.5714,3566.7143,80776.4286,0.0
2022-06-12,-1,27766,41,6548,916,20262,0,95016.4286,106.5714,11895.1429,3455.0,79559.7143,0.0
2022-06-13,0,73425,219,27238,4177,41791,0,88835.1429,120.0,13087.0,3409.2857,72218.8571,0.0
2022-06-14,0,70779,173,25591,3441,41574,0,84081.1429,126.4286,14950.2857,3444.1429,65560.2857,0.0
2022-06-15,0,84152,158,31718,4410,47866,0,80281.5714,134.8571,18008.5714,3504.5714,58633.5714,0.0
2022-06-16,0,94826,128,34438,3854,56406,0,77609.8571,126.4286,21280.8571,3447.5714,52755.0,0.0
2022-06-17,0,152136,164,63017,6314,82641,0,75835.5714,131.8571,27871.1429,3432.4286,44400.1429,0.0
2022-06-18,1,41689,70,28385,807,12427,0,77824.7143,136.1429,30990.7143,3417.0,43281.0,0.0
2022-06-19,-1,41690,70,28385,807,12428,0,79813.8571,140.2857,34110.2857,3401.4286,42161.8571,0.0
2022-06-20,0,104329,203,71332,4425,28369,0,84228.7143,138.0,40409.4286,3436.8571,40244.4286,0.0
2022-06-21,0,97673,356,68938,3994,24385,0,88070.7143,164.1429,46601.8571,3515.8571,37788.8571,0.0
2022-06-22,0,157964,125,120345,4609,32885,0,98615.2857,159.4286,59262.8571,3544.2857,35648.7143,0.0
2022-06-23,0,147491,173,114718,4692,27908,0,106138.8571,165.8571,70731.4286,3664.0,31577.5714,0.0
2022-06-24,0,125286,134,78637,4889,41626,0,102303.1429,161.5714,72962.8571,3460.4286,25718.2857,0.0
2022-06-25,1,44655,42,28010,1875,14727,0,102726.8571,157.5714,72909.2857,3613.0,26046.8571,0.0
2022-06-26,-1,44656,43,28010,1876,14728,0,103150.5714,153.7143,72855.7143,3765.7143,26375.4286,0.0
2022-06-27,0,98221,112,70078,4958,23073,0,102278.0,140.7143,72676.5714,3841.8571,25618.8571,0.0
2022-06-28,0,92312,173,55917,3869,32353,0,101512.1429,114.5714,70816.4286,3824.0,26757.1429,0.0
2022-06-29,0,112328,96,59265,4108,48859,0,94992.7143,110.4286,62090.7143,3752.4286,29039.1429,0.0
2022-06-30,0,113570,127,55346,3444,54653,0,90146.8571,103.8571,53609.0,3574.1429,32859.8571,0.0
2022-07-01,0,104508,136,46213,4805,53354,0,87178.5714,104.1429,48977.0,3562.1429,34535.2857,0.0
2022-07-02,1,31821,37,14287,14,17482,0,85345.1429,103.4286,47016.5714,3296.2857,34928.8571,0.0
2022-07-03,-1,31821,37,14288,15,17482,0,83511.5714,102.5714,45056.2857,3030.4286,35322.2857,0.0
2022-07-04,0,76417,63,32601,2282,41471,0,80396.7143,95.5714,39702.4286,2648.1429,37950.5714,0.0
2022-07-05,0,87968,125,43036,2211,42596,0,79776.1429,88.7143,37862.2857,2411.2857,39413.8571,0.0
2022-07-06,0,83586,178,35569,2918,44921,0,75670.1429,100.4286,34477.1429,2241.2857,38851.2857,0.0
2022-07-07,0,77108,93,33922,2377,40716,0,70461.2857,95.5714,31416.5714,2088.8571,36860.2857,0.0
2022-07-08,0,94711,56,43860,2624,46219,1952,69061.7143,84.1429,31080.4286,1777.2857,35841.0,278.8571
2022-07-09,,,,,,,,,,,,,
2022-07-10,,,,,,,,,,,,,
2022-07-11,,,,,,,,,,,,,
