brand,source,quantity,delivery_date,available_date,delivery_news,available_news
Moderna,Moderna,349200,2021-07-15,2021-07-23,https://www.cna.com.tw/news/firstnews/202107150215.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600455
Medigen,Medigen,265528,,2021-08-02,,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600469
AZ,AZ,581400,2021-07-27,2021-08-04,https://www.cna.com.tw/news/firstnews/202107270203.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600479
Medigen,Medigen,86910,,2021-08-05,,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600479
AZ,Lithuania,19400,2021-07-31,2021-08-10,https://www.cna.com.tw/news/firstnews/202107310085.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600484
Moderna,Moderna,99000,2021-08-08,2021-08-17,https://www.cna.com.tw/news/firstnews/202108090129.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600498
Medigen,Medigen,261766,,2021-08-17,,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600498
AZ,AZ,524200,2021-08-12,2021-08-20,https://www.cna.com.tw/news/firstnews/202108120201.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600505
Moderna,Moderna,249000,2021-08-15,2021-08-24,https://www.cna.com.tw/news/firstnews/202108155005.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600513
Medigen,Medigen,263586,,2021-08-24,,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600513
AZ,AZ,264400,2021-08-27,2021-09-04,https://www.cna.com.tw/news/firstnews/202108275002.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600542
Moderna,Czechia,28800,2021-08-29,2021-09-07,https://www.cna.com.tw/news/firstnews/202108290099.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600550
AZ,AZ,594900,2021-08-31,2021-09-07,https://www.cna.com.tw/news/firstnews/202108310186.aspx,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600550
Medigen,Medigen,86935,,2021-09-07,,https://www.fda.gov.tw/TC/newsContent.aspx?cid=4&id=t600550
AZ,Poland,400200,2021-09-05,2021-09-14,https://www.cna.com.tw/news/firstnews/202109050008.aspx,
AZ,COVAX,409800,2021-09-05,2021-09-14,https://www.cna.com.tw/news/firstnews/202109055005.aspx,
Medigen,Medigen,171681,,2021-09-14,,
AZ,Japan,62800,2021-09-07,2021-09-15,https://www.cna.com.tw/news/firstnews/202109075007.aspx,
Pfizer,Pfizer,930732,2021-09-02,2021-09-17,https://www.cna.com.tw/news/firstnews/202109025001.aspx,https://www.cna.com.tw/news/firstnews/202109160346.aspx
Pfizer,Pfizer,909672,2021-09-09,2021-09-17,https://www.cna.com.tw/news/firstnews/202109090011.aspx,https://www.cna.com.tw/news/firstnews/202109160346.aspx
AZ,AZ,457800,2021-09-10,2021-09-18,https://www.cna.com.tw/news/firstnews/202109105008.aspx,
Medigen,Medigen,84280,,2021-09-24,,
AZ,AZ,640900,2021-09-17,2021-09-25,https://www.cna.com.tw/news/firstnews/202109175007.aspx,
Moderna,Moderna,1082500,2021-09-17,2021-09-26,https://www.cna.com.tw/news/firstnews/202109180003.aspx,
Medigen,Medigen,385680,,2021-09-28,,
Medigen,Medigen,155500,,2021-09-29,,
Medigen,Medigen,81700,,2021-09-30,,
AZ,Japan,657630,2021-09-25,2021-10-05,https://www.cna.com.tw/news/firstnews/202109250088.aspx,
Pfizer,Pfizer,546972,2021-09-30,2021-10-08,https://www.cna.com.tw/news/firstnews/202109300013.aspx,
AZ,AZ,656200,2021-09-30,2021-10-08,https://www.cna.com.tw/news/firstnews/202109305005.aspx,
Pfizer,Pfizer,676162,2021-10-01,2021-10-09,https://www.cna.com.tw/news/firstnews/202110010026.aspx,
Pfizer,Pfizer,262662,2021-10-04,2021-10-13,https://www.cna.com.tw/news/firstnews/202110040005.aspx,
Medigen,Medigen,631184,,2021-10-14,,
Pfizer,Pfizer,888612,2021-10-07,2021-10-15,https://www.cna.com.tw/news/firstnews/202110070168.aspx,
Pfizer,Pfizer,888612,2021-10-08,2021-10-16,https://www.cna.com.tw/news/firstnews/202110080023.aspx,
Moderna,Moderna,1131500,2021-10-09,2021-10-19,https://www.cna.com.tw/news/firstnews/202110090004.aspx,
AZ,Lithuania,231700,2021-10-09,2021-10-19,https://www.cna.com.tw/news/firstnews/202110095008.aspx,
Medigen,Medigen,778344,,2021-10-19,,
AZ,AZ,1359600,2021-10-13,2021-10-22,https://www.cna.com.tw/news/firstnews/202110135010.aspx,
Pfizer,Pfizer,826602,2021-10-14,2021-10-22,https://www.cna.com.tw/news/firstnews/202110140028.aspx,
Medigen,Medigen,85597,,2021-10-23,,
Medigen,Medigen,85937,,2021-10-27,,
Medigen,Medigen,541000,,2021-10-30,,
Medigen,Medigen,255810,,2021-11-03,,
AZ,Japan,300400,2021-10-27,2021-11-05,https://www.cna.com.tw/news/firstnews/202110270032.aspx,
Pfizer,Pfizer,895632,2021-10-28,2021-11-05,https://www.cna.com.tw/news/firstnews/202110280177.aspx,
Pfizer,Pfizer,909672,2021-10-29,2021-11-09,https://www.cna.com.tw/news/firstnews/202110290017.aspx,
Moderna,USA,1499540,2021-11-01,2021-11-10,https://www.cna.com.tw/news/firstnews/202111010135.aspx,
Medigen,Medigen,271440,,2021-11-11,,
AZ,AZ,141300,2021-11-04,2021-11-13,https://www.cna.com.tw/news/firstnews/202111040163.aspx,
AZ,AZ,593500,2021-11-06,2021-11-15,https://www.cna.com.tw/news/firstnews/202111065006.aspx,
Pfizer,Pfizer,830112,2021-11-05,2021-11-16,https://www.cna.com.tw/news/firstnews/202111050020.aspx,
Medigen,Medigen,549570,,2021-11-19,,
Pfizer,Pfizer,926052,2021-11-12,2021-11-23,https://www.cna.com.tw/news/firstnews/202111120148.aspx,
Moderna,Moderna,1225500,2021-11-12,2021-11-23,https://www.cna.com.tw/news/firstnews/202111125008.aspx,
AZ,AZ,675100,2021-11-19,2021-11-27,https://www.cna.com.tw/news/firstnews/202111195010.aspx,
Moderna,Moderna,1149820,2021-11-19,2021-11-30,https://www.cna.com.tw/news/firstnews/202111180261.aspx,
Pfizer,Pfizer,937752,2021-11-25,2021-12-03,https://www.cna.com.tw/news/firstnews/202111250017.aspx,
Medigen,Medigen,173297,,2021-12-09,,
Medigen,Medigen,255693,,2021-12-14,,
Pfizer,Pfizer,1922892,2021-12-09,2021-12-17,https://www.cna.com.tw/news/firstnews/202112090163.aspx,
Medigen,Medigen,151600,,2021-12-27,,
AZ,AZ,737200,2021-12-21,2022-01-05,https://www.cna.com.tw/news/firstnews/202112210201.aspx,
Pfizer,Pfizer,937752,2021-12-30,2022-01-08,https://www.cna.com.tw/news/firstnews/202112300017.aspx,
Medigen,Medigen,551580,,2022-01-15,,
AZ,AZ,1460300,2022-01-16,2022-01-26,https://www.cna.com.tw/news/firstnews/202201130232.aspx,
Pfizer,Pfizer,993912,2022-01-21,2022-01-28,https://www.cna.com.tw/news/firstnews/202201210026.aspx,
Moderna,Moderna,1511600,2022-01-25,2022-02-08,https://www.cna.com.tw/news/firstnews/202201250166.aspx,
Pfizer,Pfizer,918156,2022-01-27,2022-02-11,https://www.cna.com.tw/news/firstnews/202201270022.aspx,
Medigen,Medigen,75620,,2022-02-18,,
Medigen,Medigen,97066,,2022-02-19,,
Moderna,Moderna,1404200,2022-02-15,2022-02-24,https://www.cna.com.tw/news/firstnews/202202150139.aspx,
Moderna,Moderna,1224000,2022-02-28,2022-03-09,https://www.cna.com.tw/news/firstnews/202202280014.aspx,
Medigen,Medigen,95783,,2022-03-18,,
Moderna,Moderna,199800,2022-04-23,2022-04-25,https://www.cna.com.tw/news/firstnews/202204230163.aspx,
Moderna,Moderna,1371000,2022-04-27,2022-04-29,https://www.cna.com.tw/news/firstnews/202204270325.aspx,
Moderna,Moderna,1106100,2022-05-03,,https://www.cna.com.tw/news/firstnews/202205030131.aspx,
Moderna,Moderna,1115500,2022-05-04,,https://www.cna.com.tw/news/firstnews/202205040169.aspx,
Moderna,Moderna,1253300,2022-05-07,,https://www.cna.com.tw/news/firstnews/202205070110.aspx,
Pfizer,Pfizer,777600,2022-05-16,,https://www.cna.com.tw/news/firstnews/202205160008.aspx,
