date,imported,linked,unlinked,fleet,plane,unknown
2021-04-05,0,0,0,0,0,0
2021-04-06,1,0,0,0,0,0
2021-04-07,0,0,0,0,0,0
2021-04-08,1,0,0,0,0,0
2021-04-09,3,0,0,0,0,0
2021-04-10,0,0,0,0,0,0
2021-04-11,0,0,0,0,0,0
2021-04-12,1,0,0,0,0,0
2021-04-13,0,0,0,0,0,0
2021-04-14,0,0,0,0,0,0
2021-04-15,2,0,0,0,0,0
2021-04-16,1,0,0,0,0,0
2021-04-17,0,1,0,0,0,1
2021-04-18,0,0,0,0,0,2
2021-04-19,1,0,0,0,0,0
2021-04-20,1,0,0,0,0,0
2021-04-21,0,0,0,0,0,0
2021-04-22,2,1,0,0,0,0
2021-04-23,2,0,1,0,0,0
2021-04-24,5,0,0,0,0,1
2021-04-25,1,0,0,0,0,0
2021-04-26,1,2,0,0,0,0
2021-04-27,0,1,0,0,0,1
2021-04-28,2,2,0,0,0,0
2021-04-29,2,5,0,0,0,0
2021-04-30,1,1,0,0,0,0
2021-05-01,1,0,0,0,0,1
2021-05-02,1,3,1,0,0,1
2021-05-03,1,2,1,0,0,0
2021-05-04,0,0,0,0,0,1
2021-05-05,2,2,0,0,0,0
2021-05-06,0,2,3,0,0,1
2021-05-07,0,7,1,0,0,0
2021-05-08,0,2,3,0,0,0
2021-05-09,1,8,3,0,0,1
2021-05-10,2,7,6,0,0,0
2021-05-11,0,4,6,0,0,0
2021-05-12,0,5,10,0,0,0
2021-05-13,0,8,23,0,0,0
2021-05-14,0,10,29,0,0,0
2021-05-15,1,5,40,0,0,0
2021-05-16,0,9,31,0,0,0
2021-05-17,1,13,28,0,0,0
2021-05-18,1,10,34,0,0,0
2021-05-19,0,13,31,0,0,0
2021-05-20,0,13,35,0,0,0
2021-05-21,0,11,48,0,0,0
2021-05-22,0,15,37,0,0,0
2021-05-23,0,10,40,0,0,0
2021-05-24,0,14,40,0,0,0
2021-05-25,0,20,33,0,0,0
2021-05-26,0,11,31,0,0,0
2021-05-27,0,4,35,0,0,0
2021-05-28,0,8,26,0,0,0
2021-05-29,1,11,17,0,0,0
2021-05-30,0,9,29,0,0,0
2021-05-31,0,5,28,0,0,0
2021-06-01,0,6,24,0,0,0
2021-06-02,0,1,11,0,0,0
2021-06-03,0,9,14,0,0,0
2021-06-04,0,0,20,0,0,0
2021-06-05,0,7,9,0,0,0
2021-06-06,0,2,15,0,0,0
2021-06-07,1,3,11,0,0,0
2021-06-08,1,6,17,0,0,0
2021-06-09,2,2,9,0,0,0
2021-06-10,0,4,9,0,0,0
2021-06-11,2,2,7,0,0,0
2021-06-12,0,4,7,0,0,0
2021-06-13,0,6,11,0,0,0
2021-06-14,0,3,8,0,0,0
2021-06-15,0,2,11,0,0,0
2021-06-16,0,2,8,0,0,0
2021-06-17,0,2,7,0,0,0
2021-06-18,0,7,3,0,0,0
2021-06-19,1,5,7,0,0,0
2021-06-20,0,2,4,0,0,0
2021-06-21,1,2,4,0,0,0
2021-06-22,0,5,4,0,0,0
2021-06-23,0,4,1,0,0,0
2021-06-24,0,6,1,0,0,0
2021-06-25,0,2,2,0,0,0
2021-06-26,0,2,1,0,0,0
2021-06-27,0,2,3,0,0,0
2021-06-28,1,1,2,0,0,0
2021-06-29,0,0,4,0,0,0
2021-06-30,3,0,2,0,0,0
2021-07-01,1,0,1,0,0,0
2021-07-02,3,0,1,0,0,0
2021-07-03,1,1,1,0,0,0
2021-07-04,1,2,0,0,0,0
2021-07-05,2,0,0,0,0,0
2021-07-06,0,0,0,0,0,0
2021-07-07,0,0,0,0,0,0
2021-07-08,1,0,2,0,0,0
2021-07-09,1,1,1,0,0,0
2021-07-10,1,1,0,0,0,0
2021-07-11,3,0,1,0,0,0
2021-07-12,0,0,0,0,0,0
2021-07-13,2,0,1,0,0,0
2021-07-14,1,0,0,0,0,0
2021-07-15,2,1,0,0,0,0
2021-07-16,2,0,1,0,0,0
2021-07-17,2,0,0,0,0,0
2021-07-18,1,0,0,0,0,0
2021-07-19,3,0,0,0,0,0
2021-07-20,3,0,1,0,0,0
2021-07-21,3,0,2,0,0,0
2021-07-22,0,0,0,0,0,0
2021-07-23,0,7,8,0,0,0
2021-07-24,1,0,1,0,0,0
2021-07-25,1,1,0,0,0,0
2021-07-26,1,3,2,0,0,0
2021-07-27,0,3,1,0,0,0
2021-07-28,2,0,1,0,0,0
2021-07-29,0,1,0,0,0,0
2021-07-30,1,6,6,0,0,0
2021-07-31,0,1,0,0,0,0
2021-08-01,2,1,0,0,0,0
2021-08-02,0,0,0,0,0,0
2021-08-03,2,0,1,0,0,0
2021-08-04,3,6,4,0,0,0
2021-08-05,1,0,0,0,0,0
2021-08-06,2,2,3,0,0,0
2021-08-07,0,0,3,0,0,0
2021-08-08,1,0,1,0,0,0
2021-08-09,0,0,0,0,0,0
2021-08-10,3,1,1,0,0,0
2021-08-11,1,0,0,0,0,0
2021-08-12,0,0,3,0,0,0
2021-08-13,1,0,0,0,0,0
2021-08-14,0,1,0,0,0,0
2021-08-15,1,0,0,0,0,0
2021-08-16,4,0,6,0,0,0
2021-08-17,2,1,0,0,0,0
2021-08-18,1,0,2,0,0,0
2021-08-19,2,0,1,0,0,0
2021-08-20,2,0,0,0,0,0
2021-08-21,1,0,0,0,0,0
2021-08-22,1,0,0,0,0,0
2021-08-23,3,1,0,0,0,0
2021-08-24,3,0,0,0,0,0
2021-08-25,0,1,0,0,0,0
2021-08-26,1,0,1,0,0,0
2021-08-27,0,1,1,0,0,0
2021-08-28,2,0,0,0,0,0
2021-08-29,1,0,0,0,0,0
2021-08-30,0,1,0,0,0,0
2021-08-31,1,0,0,0,0,0
2021-09-01,2,2,0,0,0,0
2021-09-02,2,0,0,0,0,0
2021-09-03,1,1,0,0,0,0
2021-09-04,1,0,0,0,0,0
2021-09-05,1,0,0,0,0,0
2021-09-06,0,1,0,0,0,0
2021-09-07,1,2,2,0,0,0
2021-09-08,3,0,2,0,0,0
2021-09-09,2,0,0,0,0,0
2021-09-10,0,1,0,0,0,0
2021-09-11,1,1,0,0,0,0
2021-09-12,0,1,1,0,0,0
2021-09-13,0,0,0,0,0,0
2021-09-14,0,1,0,0,0,0
2021-09-15,0,0,0,0,0,0
2021-09-16,0,0,0,0,0,0
2021-09-17,1,0,0,0,0,0
2021-09-18,3,0,0,0,0,0
2021-09-19,0,0,0,0,0,0
2021-09-20,3,0,0,0,0,0
2021-09-21,1,0,0,0,0,0
2021-09-22,3,0,0,0,0,0
2021-09-23,1,0,0,0,0,0
2021-09-24,2,0,0,0,0,0
2021-09-25,0,0,0,0,0,0
2021-09-26,0,0,0,0,0,0
2021-09-27,0,0,1,0,0,0
2021-09-28,0,0,0,0,0,0
2021-09-29,1,0,0,0,0,0
2021-09-30,3,0,0,0,0,0
2021-10-01,1,0,0,0,0,0
2021-10-02,1,0,0,0,0,0
2021-10-03,0,0,0,0,0,0
2021-10-04,1,0,0,0,0,0
2021-10-05,0,0,1,0,0,0
2021-10-06,1,0,0,0,0,0
2021-10-07,0,0,0,0,0,0
2021-10-08,2,0,0,0,0,0
2021-10-09,0,0,0,0,0,0
2021-10-10,1,0,0,0,0,0
2021-10-11,0,0,0,0,0,0
2021-10-12,0,0,0,0,0,0
2021-10-13,2,0,0,0,0,0
2021-10-14,1,0,0,0,0,0
2021-10-15,0,0,0,0,0,0
2021-10-16,1,0,1,0,0,0
2021-10-17,2,0,0,0,0,0
2021-10-18,1,0,0,0,0,0
2021-10-19,0,0,1,0,0,0
2021-10-20,2,0,1,0,0,0
2021-10-21,0,0,0,0,0,0
2021-10-22,2,0,0,0,0,0
2021-10-23,0,0,0,0,0,0
2021-10-24,1,0,0,0,0,0
2021-10-25,0,0,0,0,0,0
2021-10-26,1,0,0,0,0,0
2021-10-27,2,0,0,0,0,0
2021-10-28,0,0,0,0,0,0
2021-10-29,0,0,0,0,0,0
2021-10-30,2,0,0,0,0,0
2021-10-31,1,0,0,0,0,0
2021-11-01,2,0,0,0,0,0
2021-11-02,1,0,0,0,0,0
2021-11-03,0,0,0,0,0,0
2021-11-04,2,0,0,0,0,0
2021-11-05,1,0,0,0,0,0
2021-11-06,1,0,0,0,0,0
2021-11-07,1,0,0,0,0,0
2021-11-08,2,0,0,0,0,0
2021-11-09,1,0,0,0,0,0
2021-11-10,0,0,0,0,0,0
2021-11-11,2,0,0,0,0,0
2021-11-12,0,0,0,0,0,0
2021-11-13,0,0,0,0,0,0
2021-11-14,0,0,0,0,0,0
2021-11-15,0,0,0,0,0,0
2021-11-16,0,0,0,0,0,0
2021-11-17,0,0,0,0,0,0
2021-11-18,2,0,0,0,0,0
2021-11-19,0,0,0,0,0,0
2021-11-20,2,0,0,0,0,0
2021-11-21,2,0,0,0,0,0
2021-11-22,1,0,0,0,0,0
2021-11-23,1,0,0,0,0,0
2021-11-24,2,0,0,0,0,0
2021-11-25,1,0,0,0,0,0
2021-11-26,3,1,0,0,0,0
2021-11-27,1,0,0,0,0,0
2021-11-28,1,0,0,0,0,0
2021-11-29,4,0,0,0,0,0
2021-11-30,1,0,0,0,0,0
2021-12-01,0,0,0,0,0,0
2021-12-02,1,0,0,0,0,0
2021-12-03,2,0,0,0,0,0
2021-12-04,2,0,0,0,0,0
2021-12-05,2,0,0,0,0,0
2021-12-06,4,1,0,0,0,0
2021-12-07,3,0,0,0,0,0
2021-12-08,5,0,0,0,0,0
2021-12-09,1,0,0,0,0,0
2021-12-10,0,1,0,0,0,0
2021-12-11,2,0,0,0,0,0
2021-12-12,1,1,0,0,0,0
2021-12-13,1,1,0,0,0,0
2021-12-14,1,0,0,0,0,0
2021-12-15,8,0,1,0,0,0
2021-12-16,6,0,0,0,0,0
2021-12-17,3,0,0,0,0,0
2021-12-18,3,0,0,0,0,0
2021-12-19,4,0,0,0,0,0
2021-12-20,6,0,0,0,0,0
2021-12-21,3,0,0,0,0,0
2021-12-22,6,0,0,0,0,0
2021-12-23,3,0,0,0,0,0
2021-12-24,6,1,0,0,0,0
2021-12-25,10,0,0,0,0,0
2021-12-26,7,0,0,0,0,0
2021-12-27,7,1,0,0,0,0
2021-12-28,6,1,0,0,0,0
2021-12-29,9,1,0,0,0,0
2021-12-30,18,4,0,0,0,0
2021-12-31,5,0,0,0,0,0
