date,interpolated,total,AZ,Moderna,Medigen,Pfizer
2021-04-15,0,30039,30039,0,0,0
2021-04-16,0,32389,32389,0,0,0
2021-04-17,0,32450,32450,0,0,0
2021-04-18,1,33032,33032,0,0,0
2021-04-19,1,33614,33614,0,0,0
2021-04-20,0,34197,34197,0,0,0
2021-04-21,0,36731,36731,0,0,0
2021-04-22,0,39221,39221,0,0,0
2021-04-23,0,42523,42523,0,0,0
2021-04-24,0,42672,42672,0,0,0
2021-04-25,1,44029,44029,0,0,0
2021-04-26,0,45387,45387,0,0,0
2021-04-27,0,48180,48180,0,0,0
2021-04-28,0,50833,50833,0,0,0
2021-04-29,0,54189,54189,0,0,0
2021-04-30,0,57884,57884,0,0,0
2021-05-01,1,58068,58068,0,0,0
2021-05-02,0,58252,58252,0,0,0
2021-05-03,0,62437,62437,0,0,0
2021-05-04,0,67931,67931,0,0,0
2021-05-05,0,73988,73988,0,0,0
2021-05-06,0,80861,80861,0,0,0
2021-05-07,0,91002,91002,0,0,0
2021-05-08,1,91525,91525,0,0,0
2021-05-09,0,92049,92049,0,0,0
2021-05-10,1,102296,102296,0,0,0
2021-05-11,0,112543,112543,0,0,0
2021-05-12,0,129669,129669,0,0,0
2021-05-13,0,151997,151997,0,0,0
2021-05-14,0,186149,186149,0,0,0
2021-05-15,1,190413,190413,0,0,0
2021-05-16,0,194678,194678,0,0,0
2021-05-17,0,220352,220352,0,0,0
2021-05-18,0,245008,245008,0,0,0
2021-05-19,0,264589,264589,0,0,0
2021-05-20,0,281647,281647,0,0,0
2021-05-21,0,299844,299844,0,0,0
2021-05-22,1,301271,301271,0,0,0
2021-05-23,0,302698,302698,0,0,0
2021-05-24,0,311678,311678,0,0,0
2021-05-25,0,319665,319665,0,0,0
2021-05-26,1,349960,349960,0,0,0
2021-05-27,1,380256,380256,0,0,0
2021-05-28,1,410551,410551,0,0,0
2021-05-29,1,440847,440847,0,0,0
2021-05-30,1,471142,471142,0,0,0
2021-05-31,1,501438,501438,0,0,0
2021-06-01,1,531733,531733,0,0,0
2021-06-02,0,562029,562029,0,0,0
2021-06-03,0,624132,624132,0,0,0
2021-06-04,0,678418,678418,0,0,0
2021-06-05,1,688802,688802,0,0,0
2021-06-06,0,699187,699187,0,0,0
2021-06-07,0,724819,724819,0,0,0
2021-06-08,0,743578,743578,0,0,0
2021-06-09,0,759746,759746,0,0,0
2021-06-10,0,782300,767160,15140,0,0
2021-06-11,0,799129,774260,24869,0,0
2021-06-12,1,817794,790752,27042,0,0
2021-06-13,1,836459,807244,29215,0,0
2021-06-14,0,855125,823736,31389,0,0
2021-06-15,0,1009160,971655,37505,0,0
2021-06-16,0,1178104,1133515,44589,0,0
2021-06-17,0,1321839,1273121,48718,0,0
2021-06-18,0,1429514,1374956,54558,0,0
2021-06-19,1,1485623,1426679,58944,0,0
2021-06-20,0,1541732,1478402,63330,0,0
2021-06-21,0,1616384,1541941,74443,0,0
2021-06-22,0,1681936,1595589,86347,0,0
2021-06-23,0,1746130,1650166,95964,0,0
2021-06-24,0,1835225,1729057,106168,0,0
2021-06-25,0,1905474,1789224,116250,0,0
2021-06-26,1,1916223,1798702,117521,0,0
2021-06-27,0,1926973,1808180,118793,0,0
2021-06-28,0,1964592,1839324,125268,0,0
2021-06-29,0,2002677,1872246,130431,0,0
2021-06-30,0,2043218,1908861,134357,0,0
2021-07-01,0,2087587,1930298,157289,0,0
2021-07-02,0,2278338,1949113,329225,0,0
2021-07-03,1,2398599,1952337,446262,0,0
2021-07-04,0,2518860,1955561,563299,0,0
2021-07-05,0,2628789,1963999,664790,0,0
2021-07-06,0,2740540,1972073,768467,0,0
2021-07-07,0,2899997,1980112,919885,0,0
2021-07-08,0,3121081,1986497,1134584,0,0
2021-07-09,0,3357000,1996019,1360981,0,0
2021-07-10,1,3461420,1997445,1463974,0,0
2021-07-11,0,3565840,1998872,1566968,0,0
2021-07-12,0,3821539,2005079,1816460,0,0
2021-07-13,0,4084061,2012489,2071572,0,0
2021-07-14,0,4337272,2019986,2317286,0,0
2021-07-15,0,4603639,2026683,2576956,0,0
2021-07-16,0,4916652,2228981,2687671,0,0
2021-07-17,1,5055379,2348164,2707215,0,0
2021-07-18,0,5194107,2467348,2726759,0,0
2021-07-19,0,5419988,2655113,2764875,0,0
2021-07-20,0,5674553,2877587,2796966,0,0
2021-07-21,0,5894500,3068120,2826380,0,0
2021-07-22,0,6059596,3203146,2856450,0,0
2021-07-23,0,6347065,3468310,2878755,0,0
2021-07-24,1,6510597,3624157,2886439,0,0
2021-07-25,0,6674129,3780005,2894124,0,0
2021-07-26,0,7013130,4101387,2911743,0,0
2021-07-27,0,7318286,4387148,2931138,0,0
2021-07-28,0,7588692,4633996,2954696,0,0
2021-07-29,0,7826972,4852884,2974088,0,0
2021-07-30,0,8088871,5093665,2995206,0,0
2021-07-31,1,8179542,5181415,2998127,0,0
2021-08-01,0,8270213,5269165,3001048,0,0
2021-08-02,0,8405085,5391638,3013447,0,0
2021-08-03,0,8501137,5474042,3027095,0,0
2021-08-04,0,8607387,5568768,3038619,0,0
2021-08-05,0,8875048,5824943,3050105,0,0
2021-08-06,0,9154501,6094397,3060104,0,0
2021-08-07,1,9167399,6105614,3061785,0,0
2021-08-08,0,9180297,6116831,3063466,0,0
2021-08-09,0,9228263,6158300,3069963,0,0
2021-08-10,0,9265758,6190634,3075124,0,0
2021-08-11,0,9433236,6209707,3223529,0,0
2021-08-12,0,9602785,6228188,3374597,0,0
2021-08-13,0,9749241,6274195,3475046,0,0
2021-08-14,1,9787039,6278928,3508110,0,0
2021-08-15,0,9824837,6283662,3541175,0,0
2021-08-16,0,9887295,6307256,3580039,0,0
2021-08-17,0,9951034,6332070,3618964,0,0
2021-08-18,0,9985997,6353743,3632254,0,0
2021-08-19,0,10014566,6372240,3642326,0,0
2021-08-20,0,10057641,6400065,3657576,0,0
2021-08-21,1,10062701,6403967,3658734,0,0
2021-08-22,0,10067762,6407870,3659892,0,0
2021-08-23,0,10246977,6415089,3664620,167268,0
2021-08-24,0,10404722,6440517,3677248,286957,0
2021-08-25,0,10497159,6459692,3685985,351482,0
2021-08-26,0,10586017,6484093,3698934,402990,0
2021-08-27,0,10779334,6516431,3711971,550932,0
2021-08-28,1,10832749,6523446,3713506,595797,0
2021-08-29,0,10886165,6530462,3715041,640662,0
2021-08-30,0,10928720,6556653,3723389,648678,0
2021-08-31,0,10958966,6575708,3732428,650830,0
2021-09-01,0,10982471,6589379,3741157,651935,0
2021-09-02,0,11004240,6600608,3750675,652957,0
2021-09-03,0,11243600,6831233,3758083,654284,0
2021-09-04,1,11312284,6894191,3760047,658045,0
2021-09-05,0,11380968,6957150,3762012,661806,0
2021-09-06,0,11456359,7014794,3764390,677175,0
2021-09-07,0,11548606,7097162,3766417,685027,0
2021-09-08,0,11660683,7197802,3769399,693482,0
2021-09-09,0,11961678,7489321,3771914,700443,0
2021-09-10,0,12301555,7814049,3778191,709315,0
2021-09-11,1,12382373,7890526,3779050,712797,0
2021-09-12,0,12463192,7967003,3779909,716280,0
2021-09-13,0,12488096,7983293,3786612,718191,0
2021-09-14,0,12504662,7991608,3793887,719167,0
2021-09-15,0,12708428,8191399,3797017,720012,0
2021-09-16,0,12938098,8416593,3801017,720488,0
2021-09-17,0,13171843,8645650,3805277,720916,0
2021-09-18,1,13230221,8703219,3805770,721232,0
2021-09-19,1,13288600,8760789,3806263,721548,0
2021-09-20,1,13346978,8818358,3806756,721864,0
2021-09-21,0,13405357,8875928,3807249,722180,0
2021-09-22,0,13589767,9026048,3831689,723208,8822
2021-09-23,0,13856466,9159837,3873320,723809,99500
2021-09-24,0,14142461,9207866,3958749,724534,251312
2021-09-25,1,14286268,9225949,3986150,724700,349469
2021-09-26,0,14430076,9244033,4013551,724866,447626
2021-09-27,0,14763330,9262713,4045245,738132,717240
2021-09-28,0,15091281,9285582,4080377,751954,973368
2021-09-29,0,15441421,9307266,4149262,764343,1220550
2021-09-30,0,15880889,9327099,4218430,942845,1392515
2021-10-01,0,16277198,9338594,4273358,1097121,1568125
2021-10-02,1,16418078,9343399,4324424,1158163,1592092
2021-10-03,0,16558959,9348205,4375490,1219205,1616059
2021-10-04,0,16820590,9365612,4562795,1234919,1657264
2021-10-05,0,17021317,9384599,4690917,1241455,1704346
2021-10-06,0,17218445,9454654,4777420,1250844,1735527
2021-10-07,0,17541591,9679229,4827495,1262609,1772258
2021-10-08,0,17887465,9941380,4867954,1274105,1804026
2021-10-09,1,18005262,10020760,4888298,1281014,1815188
2021-10-10,1,18123059,10100141,4908642,1287923,1826351
2021-10-11,0,18240856,10179522,4928987,1294833,1837514
2021-10-12,0,18497356,10344651,4953073,1334187,1865445
2021-10-13,0,18766730,10396154,4985799,1342143,2042634
2021-10-14,0,19026022,10418032,5052119,1345784,2210087
2021-10-15,0,19435019,10531280,5107669,1349750,2446320
2021-10-16,1,19630351,10583265,5140143,1350695,2556247
2021-10-17,0,19825683,10635251,5172618,1351640,2666174
2021-10-18,0,20204959,10739758,5192434,1354554,2918213
2021-10-19,0,20541421,10884262,5201412,1357099,3098648
2021-10-20,0,20920995,11090191,5212646,1359371,3258787
2021-10-21,0,21264787,11301113,5225023,1362524,3376127
2021-10-22,0,21717020,11391611,5387150,1365689,3572570
2021-10-23,1,22000145,11464673,5443014,1366439,3726018
2021-10-24,0,22283271,11537736,5498879,1367189,3879467
2021-10-25,0,22783694,11675100,5625943,1369639,4113012
2021-10-26,0,23217629,11811679,5750635,1371996,4283319
2021-10-27,0,23637150,12007173,5854483,1374318,4401176
2021-10-28,0,24048734,12100866,5919909,1382354,4645605
2021-10-29,0,24481074,12183227,5976884,1385616,4935347
2021-10-30,1,24675612,12216833,6006673,1386685,5065420
2021-10-31,0,24870150,12250440,6036462,1387755,5195493
2021-11-01,0,25182013,12387143,6141805,1390611,5262454
2021-11-02,0,25486269,12568377,6222339,1393611,5301942
2021-11-03,0,25778064,12750319,6282574,1395775,5349396
2021-11-04,0,25851240,12778777,6317319,1392605,5362539
2021-11-05,0,26080250,12856565,6349312,1395783,5478590
2021-11-06,1,26181085,12899362,6358568,1399547,5523608
2021-11-07,0,26281921,12942159,6367824,1403311,5568627
2021-11-08,0,26542566,13073168,6375658,1405518,5688222
2021-11-09,0,26768810,13170738,6394902,1407507,5795663
2021-11-10,0,27004426,13266874,6411445,1410102,5916005
2021-11-11,0,27210265,13350553,6428319,1412242,6019151
2021-11-12,0,27479599,13455726,6447586,1414816,6161471
2021-11-13,1,27584539,13483721,6503952,1415591,6181274
2021-11-14,0,27689479,13511716,6560319,1416366,6201078
2021-11-15,0,27927621,13582769,6665087,1418100,6261665
2021-11-16,0,28161546,13666214,6749900,1419736,6325696
2021-11-17,0,28403884,13779721,6804387,1421312,6398464
2021-11-18,1,28695420,13946172,6846548,1422813,6479886
2021-11-19,0,28986957,14112623,6888710,1424315,6561309
2021-11-20,1,29105128,14174009,6921449,1424774,6584894
2021-11-21,0,29223299,14235396,6954189,1425234,6608480
2021-11-22,0,29515207,14385425,7025679,1426907,6677196
2021-11-23,0,29749086,14489676,7087425,1428143,6743842
2021-11-24,0,29932419,14538435,7149446,1429750,6814788
2021-11-25,0,30254219,14575704,7170461,1431341,7076713
2021-11-26,0,30648405,14609794,7194586,1432935,7411090
2021-11-27,1,30806819,14627699,7202446,1433708,7542966
2021-11-28,0,30965234,14645605,7210306,1434481,7674842
2021-11-29,0,31255998,14725287,7229236,1435924,7865551
2021-11-30,0,31546833,14770294,7258804,1437699,8080036
2021-12-01,0,31810156,14813836,7283274,1439399,8273647
2021-12-02,0,31998733,14838075,7298908,1440896,8420854
2021-12-03,0,32275289,14863553,7316104,1440973,8654659
2021-12-04,1,32375942,14870939,7325960,1441626,8737416
2021-12-05,0,32476595,14878325,7335816,1442280,8820174
2021-12-06,0,32689219,14896252,7355062,1444094,8993811
2021-12-07,0,32898401,14907479,7379065,1446437,9165420
2021-12-08,0,33088264,14921888,7398539,1449105,9318732
2021-12-09,0,33222844,14933319,7419074,1451937,9418514
2021-12-10,0,33403628,14953560,7440498,1454483,9555087
2021-12-11,1,33465560,14962104,7449770,1455342,9598343
2021-12-12,0,33527492,14970649,7459043,1456201,9641599
2021-12-13,0,33640770,14981760,7476022,1458647,9724341
2021-12-14,0,33717833,14990555,7489757,1461569,9775952
2021-12-15,0,33793218,14996957,7504712,1463524,9828025
2021-12-16,0,33861887,14999443,7523707,1465244,9873493
2021-12-17,0,33967690,15002360,7547643,1467213,9950474
2021-12-18,1,33999660,15003037,7554133,1467835,9974655
2021-12-19,0,34031631,15003714,7560623,1468457,9998837
2021-12-20,0,34097679,15005154,7577008,1469959,10045558
2021-12-21,0,34162798,15006304,7588209,1471190,10097095
2021-12-22,0,34231426,15007844,7599675,1472312,10151595
2021-12-23,0,34290105,15009058,7616061,1473239,10191747
2021-12-24,0,34418092,15010712,7636394,1474728,10296258
2021-12-25,1,34434392,15011381,7642070,1475200,10305740
2021-12-26,0,34450693,15012051,7647747,1475673,10315222
2021-12-27,0,34517952,15014199,7661884,1477166,10364703
2021-12-28,0,34610725,15016643,7680197,1478478,10435407
2021-12-29,0,34744719,15018572,7701163,1480081,10544903
2021-12-30,0,34975846,15021067,7729228,1481590,10743961
2021-12-31,0,35030842,15022899,7742690,1482269,10782984
