id,發佈統計日期,縣市,群組,第1劑,第2劑,加強劑,追加劑
6768,2021-11-22,彰化縣,18-29歲,95.10,44.50,0.00,0.00
6767,2021-11-22,彰化縣,12-17歲,90.00,0.20,0.00,0.00
6766,2021-11-22,彰化縣,總計,78.20,48.70,0.00,0.00
6765,2021-11-22,新竹縣,75歲以上,65.70,58.00,0.00,0.00
6764,2021-11-22,新竹縣,65-74歲,81.60,74.10,0.00,0.00
6763,2021-11-22,新竹縣,50-64歲,81.00,57.80,0.00,0.00
6762,2021-11-22,新竹縣,30-49歲,94.00,50.50,0.00,0.00
6761,2021-11-22,新竹縣,18-29歲,94.40,41.20,0.00,0.00
6760,2021-11-22,新竹縣,12-17歲,89.30,0.20,0.00,0.00
6759,2021-11-22,新竹縣,總計,76.60,43.10,0.00,0.00
6758,2021-11-22,高雄市,75歲以上,71.40,62.70,0.00,0.00
6757,2021-11-22,高雄市,65-74歲,85.50,78.70,0.00,0.00
6756,2021-11-22,高雄市,50-64歲,79.70,61.60,0.00,0.00
6755,2021-11-22,高雄市,30-49歲,86.30,52.20,0.00,0.00
6754,2021-11-22,高雄市,18-29歲,89.90,43.10,0.00,0.00
6753,2021-11-22,高雄市,12-17歲,89.40,0.50,0.00,0.00
6752,2021-11-22,高雄市,總計,76.60,49.30,0.00,0.00
6751,2021-11-22,臺南市,75歲以上,67.80,60.40,0.00,0.00
6750,2021-11-22,臺南市,65-74歲,77.80,70.80,0.00,0.00
6749,2021-11-22,臺南市,50-64歲,77.50,56.90,0.00,0.00
6748,2021-11-22,臺南市,30-49歲,85.60,48.30,0.00,0.00
6747,2021-11-22,臺南市,18-29歲,90.70,41.20,0.00,0.00
6746,2021-11-22,臺南市,12-17歲,88.60,0.30,0.00,0.00
6745,2021-11-22,臺南市,總計,74.70,45.60,0.00,0.00
6744,2021-11-22,臺中市,75歲以上,75.10,68.00,0.00,0.00
6743,2021-11-22,臺中市,65-74歲,84.90,79.50,0.00,0.00
6742,2021-11-22,臺中市,50-64歲,81.30,60.30,0.00,0.00
6741,2021-11-22,臺中市,30-49歲,88.20,52.00,0.00,0.00
6740,2021-11-22,臺中市,18-29歲,91.80,44.80,0.00,0.00
6739,2021-11-22,臺中市,12-17歲,89.60,0.30,0.00,0.00
6738,2021-11-22,臺中市,總計,76.70,47.40,0.00,0.00
6737,2021-11-22,桃園市,75歲以上,78.40,70.50,0.00,0.00
6736,2021-11-22,桃園市,65-74歲,86.40,81.40,0.00,0.00
6735,2021-11-22,桃園市,50-64歲,82.70,60.80,0.00,0.00
6734,2021-11-22,桃園市,30-49歲,92.80,52.80,0.00,0.00
6733,2021-11-22,桃園市,18-29歲,94.60,43.20,0.00,0.00
6732,2021-11-22,桃園市,12-17歲,89.90,0.30,0.00,0.00
6731,2021-11-22,桃園市,總計,78.90,47.20,0.00,0.00
6730,2021-11-22,新北市,75歲以上,72.90,66.40,0.00,0.00
6729,2021-11-22,新北市,65-74歲,83.20,77.70,0.00,0.00
6728,2021-11-22,新北市,50-64歲,83.90,65.80,0.00,0.00
6727,2021-11-22,新北市,30-49歲,90.40,55.30,0.00,0.00
6726,2021-11-22,新北市,18-29歲,93.10,43.20,0.00,0.00
6725,2021-11-22,新北市,12-17歲,90.20,0.30,0.00,0.00
6724,2021-11-22,新北市,總計,79.10,51.10,0.00,0.00
6723,2021-11-22,臺北市,75歲以上,74.80,67.90,0.00,0.00
6722,2021-11-22,臺北市,65-74歲,81.10,75.20,0.00,0.00
6721,2021-11-22,臺北市,50-64歲,83.40,63.90,0.00,0.00
6720,2021-11-22,臺北市,30-49歲,91.20,59.00,0.00,0.00
6719,2021-11-22,臺北市,18-29歲,90.90,46.60,0.00,0.00
6718,2021-11-22,臺北市,12-17歲,88.00,0.40,0.00,0.00
6717,2021-11-22,臺北市,總計,77.30,52.20,0.00,0.00
6716,2021-11-29,全國,75歲以上,72.80,65.60,0.00,0.00
6715,2021-11-29,全國,65-74歲,83.30,77.80,0.00,0.00
6714,2021-11-29,全國,50-64歲,81.80,67.90,0.00,0.00
6713,2021-11-29,全國,30-49歲,89.50,64.60,0.00,0.00
6712,2021-11-29,全國,18-29歲,93.00,55.30,0.00,0.00
6711,2021-11-29,全國,12-17歲,89.30,0.40,0.00,0.00
6710,2021-11-29,全國,總計,77.80,55.70,0.00,0.00
6709,2021-11-29,連江縣,75歲以上,83.60,77.00,0.00,0.00
6708,2021-11-29,連江縣,65-74歲,93.50,90.00,0.00,0.00
6707,2021-11-29,連江縣,50-64歲,90.30,83.60,0.00,0.00
6706,2021-11-29,連江縣,30-49歲,95.80,86.40,0.00,0.00
6705,2021-11-29,連江縣,18-29歲,97.60,82.50,0.00,0.00
6704,2021-11-29,連江縣,12-17歲,92.30,0.60,0.00,0.00
6703,2021-11-29,連江縣,總計,85.40,73.90,0.00,0.00
6702,2021-11-29,金門縣,75歲以上,72.30,65.20,0.00,0.00
6701,2021-11-29,金門縣,65-74歲,87.70,82.50,0.00,0.00
6700,2021-11-29,金門縣,50-64歲,86.30,73.20,0.00,0.00
6699,2021-11-29,金門縣,30-49歲,90.00,70.60,0.00,0.00
6698,2021-11-29,金門縣,18-29歲,91.70,65.20,0.00,0.00
6697,2021-11-29,金門縣,12-17歲,90.50,0.50,0.00,0.00
6696,2021-11-29,金門縣,總計,81.70,63.70,0.00,0.00
6695,2021-11-29,澎湖縣,75歲以上,64.60,57.30,0.00,0.00
6694,2021-11-29,澎湖縣,65-74歲,83.10,76.20,0.00,0.00
6693,2021-11-29,澎湖縣,50-64歲,84.50,74.10,0.00,0.00
6692,2021-11-29,澎湖縣,30-49歲,91.00,74.30,0.00,0.00
6691,2021-11-29,澎湖縣,18-29歲,94.40,73.50,0.00,0.00
6690,2021-11-29,澎湖縣,12-17歲,90.80,0.20,0.00,0.00
6689,2021-11-29,澎湖縣,總計,79.80,63.80,0.00,0.00
6688,2021-11-29,南投縣,75歲以上,73.20,65.40,0.00,0.00
6687,2021-11-29,南投縣,65-74歲,85.10,77.40,0.00,0.00
6686,2021-11-29,南投縣,50-64歲,79.50,64.60,0.00,0.00
6685,2021-11-29,南投縣,30-49歲,86.10,60.10,0.00,0.00
6684,2021-11-29,南投縣,18-29歲,91.00,56.10,0.00,0.00
6683,2021-11-29,南投縣,12-17歲,90.20,0.40,0.00,0.00
6682,2021-11-29,南投縣,總計,77.30,55.00,0.00,0.00
6681,2021-11-29,臺東縣,75歲以上,66.90,56.40,0.00,0.00
6680,2021-11-29,臺東縣,65-74歲,74.40,66.00,0.00,0.00
6679,2021-11-29,臺東縣,50-64歲,72.80,57.50,0.00,0.00
6678,2021-11-29,臺東縣,30-49歲,75.80,51.50,0.00,0.00
6677,2021-11-29,臺東縣,18-29歲,81.00,50.00,0.00,0.00
6676,2021-11-29,臺東縣,12-17歲,86.60,0.20,0.00,0.00
6675,2021-11-29,臺東縣,總計,69.00,47.40,0.00,0.00
6674,2021-11-29,花蓮縣,75歲以上,65.80,58.50,0.00,0.00
6673,2021-11-29,花蓮縣,65-74歲,77.60,71.40,0.00,0.00
6672,2021-11-29,花蓮縣,50-64歲,76.80,61.90,0.00,0.00
6671,2021-11-29,花蓮縣,30-49歲,82.10,57.60,0.00,0.00
6670,2021-11-29,花蓮縣,18-29歲,85.40,52.00,0.00,0.00
6669,2021-11-29,花蓮縣,12-17歲,87.70,0.50,0.00,0.00
6668,2021-11-29,花蓮縣,總計,72.50,51.20,0.00,0.00
6667,2021-11-29,嘉義縣,75歲以上,69.70,61.30,0.00,0.00
6666,2021-11-29,嘉義縣,65-74歲,82.40,76.40,0.00,0.00
6665,2021-11-29,嘉義縣,50-64歲,78.90,64.10,0.00,0.00
6664,2021-11-29,嘉義縣,30-49歲,84.20,58.00,0.00,0.00
6663,2021-11-29,嘉義縣,18-29歲,90.40,54.30,0.00,0.00
6662,2021-11-29,嘉義縣,12-17歲,89.80,0.40,0.00,0.00
6661,2021-11-29,嘉義縣,總計,76.80,54.80,0.00,0.00
6660,2021-11-29,嘉義市,75歲以上,71.90,64.60,0.00,0.00
6659,2021-11-29,嘉義市,65-74歲,81.30,75.30,0.00,0.00
6658,2021-11-29,嘉義市,50-64歲,82.90,72.30,0.00,0.00
6657,2021-11-29,嘉義市,30-49歲,88.50,66.90,0.00,0.00
6656,2021-11-29,嘉義市,18-29歲,91.20,58.60,0.00,0.00
6655,2021-11-29,嘉義市,12-17歲,90.60,0.40,0.00,0.00
6654,2021-11-29,嘉義市,總計,77.10,56.80,0.00,0.00
6653,2021-11-29,苗栗縣,75歲以上,67.80,60.00,0.00,0.00
6652,2021-11-29,苗栗縣,65-74歲,78.70,71.90,0.00,0.00
6651,2021-11-29,苗栗縣,50-64歲,78.90,62.00,0.00,0.00
6650,2021-11-29,苗栗縣,30-49歲,89.20,57.60,0.00,0.00
6649,2021-11-29,苗栗縣,18-29歲,92.70,52.20,0.00,0.00
6648,2021-11-29,苗栗縣,12-17歲,89.10,0.20,0.00,0.00
6647,2021-11-29,苗栗縣,總計,76.40,50.90,0.00,0.00
6646,2021-11-29,新竹市,75歲以上,78.40,71.10,0.00,0.00
6645,2021-11-29,新竹市,65-74歲,86.50,81.90,0.00,0.00
6644,2021-11-29,新竹市,50-64歲,82.90,67.90,0.00,0.00
6643,2021-11-29,新竹市,30-49歲,92.10,65.20,0.00,0.00
6642,2021-11-29,新竹市,18-29歲,98.20,55.50,0.00,0.00
6641,2021-11-29,新竹市,12-17歲,90.00,0.40,0.00,0.00
6640,2021-11-29,新竹市,總計,77.60,53.20,0.00,0.00
6639,2021-11-29,宜蘭縣,75歲以上,76.20,70.20,0.00,0.00
6638,2021-11-29,宜蘭縣,65-74歲,83.50,77.60,0.00,0.00
6637,2021-11-29,宜蘭縣,50-64歲,83.90,71.40,0.00,0.00
6636,2021-11-29,宜蘭縣,30-49歲,89.90,67.50,0.00,0.00
6635,2021-11-29,宜蘭縣,18-29歲,91.10,58.50,0.00,0.00
6634,2021-11-29,宜蘭縣,12-17歲,87.90,0.20,0.00,0.00
6633,2021-11-29,宜蘭縣,總計,78.80,58.60,0.00,0.00
6632,2021-11-29,基隆市,75歲以上,77.60,70.40,0.00,0.00
6631,2021-11-29,基隆市,65-74歲,87.80,82.90,0.00,0.00
6630,2021-11-29,基隆市,50-64歲,83.90,71.40,0.00,0.00
6629,2021-11-29,基隆市,30-49歲,90.40,67.40,0.00,0.00
6628,2021-11-29,基隆市,18-29歲,92.20,54.90,0.00,0.00
6627,2021-11-29,基隆市,12-17歲,91.10,2.80,0.00,0.00
6626,2021-11-29,基隆市,總計,80.80,60.30,0.00,0.00
6625,2021-11-29,屏東縣,75歲以上,70.50,62.60,0.00,0.00
6624,2021-11-29,屏東縣,65-74歲,82.20,75.90,0.00,0.00
6623,2021-11-29,屏東縣,50-64歲,77.80,63.90,0.00,0.00
6622,2021-11-29,屏東縣,30-49歲,82.30,60.30,0.00,0.00
6621,2021-11-29,屏東縣,18-29歲,87.30,54.70,0.00,0.00
6620,2021-11-29,屏東縣,12-17歲,87.70,0.30,0.00,0.00
6619,2021-11-29,屏東縣,總計,74.80,54.50,0.00,0.00
6618,2021-11-29,雲林縣,75歲以上,71.90,63.60,0.00,0.00
6617,2021-11-29,雲林縣,65-74歲,81.10,74.50,0.00,0.00
6616,2021-11-29,雲林縣,50-64歲,80.70,67.60,0.00,0.00
6615,2021-11-29,雲林縣,30-49歲,87.00,60.10,0.00,0.00
6614,2021-11-29,雲林縣,18-29歲,91.90,52.70,0.00,0.00
6613,2021-11-29,雲林縣,12-17歲,88.80,0.30,0.00,0.00
6612,2021-11-29,雲林縣,總計,77.20,54.30,0.00,0.00
6611,2021-11-29,彰化縣,75歲以上,73.00,66.90,0.00,0.00
6610,2021-11-29,彰化縣,65-74歲,85.20,79.80,0.00,0.00
6609,2021-11-29,彰化縣,50-64歲,82.40,69.40,0.00,0.00
6608,2021-11-29,彰化縣,30-49歲,90.40,65.30,0.00,0.00
6607,2021-11-29,彰化縣,18-29歲,97.70,55.40,0.00,0.00
6606,2021-11-29,彰化縣,12-17歲,90.00,0.30,0.00,0.00
6605,2021-11-29,彰化縣,總計,79.20,56.20,0.00,0.00
6604,2021-11-29,新竹縣,75歲以上,65.90,58.70,0.00,0.00
6603,2021-11-29,新竹縣,65-74歲,82.00,75.50,0.00,0.00
6602,2021-11-29,新竹縣,50-64歲,81.70,65.50,0.00,0.00
6601,2021-11-29,新竹縣,30-49歲,94.90,63.90,0.00,0.00
6600,2021-11-29,新竹縣,18-29歲,95.70,53.70,0.00,0.00
6599,2021-11-29,新竹縣,12-17歲,89.30,0.30,0.00,0.00
6598,2021-11-29,新竹縣,總計,77.30,51.10,0.00,0.00
6597,2021-11-29,高雄市,75歲以上,71.60,63.10,0.00,0.00
6596,2021-11-29,高雄市,65-74歲,85.70,79.50,0.00,0.00
6595,2021-11-29,高雄市,50-64歲,80.10,66.60,0.00,0.00
6594,2021-11-29,高雄市,30-49歲,86.80,64.00,0.00,0.00
6593,2021-11-29,高雄市,18-29歲,91.80,55.60,0.00,0.00
6592,2021-11-29,高雄市,12-17歲,89.40,0.60,0.00,0.00
6591,2021-11-29,高雄市,總計,77.10,56.10,0.00,0.00
6590,2021-11-29,臺南市,75歲以上,68.00,60.90,0.00,0.00
6589,2021-11-29,臺南市,65-74歲,78.20,71.70,0.00,0.00
6588,2021-11-29,臺南市,50-64歲,78.10,62.00,0.00,0.00
6587,2021-11-29,臺南市,30-49歲,86.40,59.00,0.00,0.00
6586,2021-11-29,臺南市,18-29歲,92.70,53.40,0.00,0.00
6585,2021-11-29,臺南市,12-17歲,88.60,0.30,0.00,0.00
6584,2021-11-29,臺南市,總計,75.40,51.90,0.00,0.00
6583,2021-11-29,臺中市,75歲以上,75.30,68.40,0.00,0.00
6582,2021-11-29,臺中市,65-74歲,85.20,80.50,0.00,0.00
6581,2021-11-29,臺中市,50-64歲,81.90,66.50,0.00,0.00
6580,2021-11-29,臺中市,30-49歲,89.10,62.10,0.00,0.00
6579,2021-11-29,臺中市,18-29歲,93.20,54.40,0.00,0.00
6578,2021-11-29,臺中市,12-17歲,89.60,0.40,0.00,0.00
6577,2021-11-29,臺中市,總計,77.40,53.50,0.00,0.00
6576,2021-11-29,桃園市,75歲以上,78.60,70.90,0.00,0.00
6575,2021-11-29,桃園市,65-74歲,86.70,81.90,0.00,0.00
6574,2021-11-29,桃園市,50-64歲,83.40,68.20,0.00,0.00
6573,2021-11-29,桃園市,30-49歲,94.80,66.20,0.00,0.00
6572,2021-11-29,桃園市,18-29歲,96.60,53.20,0.00,0.00
6571,2021-11-29,桃園市,12-17歲,89.90,0.40,0.00,0.00
6570,2021-11-29,桃園市,總計,80.00,54.70,0.00,0.00
6569,2021-11-29,新北市,75歲以上,73.10,67.00,0.00,0.00
6568,2021-11-29,新北市,65-74歲,83.60,78.90,0.00,0.00
6567,2021-11-29,新北市,50-64歲,84.40,71.00,0.00,0.00
6566,2021-11-29,新北市,30-49歲,90.90,66.50,0.00,0.00
6565,2021-11-29,新北市,18-29歲,93.60,55.90,0.00,0.00
6564,2021-11-29,新北市,12-17歲,90.10,0.40,0.00,0.00
6563,2021-11-29,新北市,總計,79.50,57.80,0.00,0.00
6562,2021-11-29,臺北市,75歲以上,75.00,68.60,0.00,0.00
6561,2021-11-29,臺北市,65-74歲,81.30,76.40,0.00,0.00
6560,2021-11-29,臺北市,50-64歲,83.60,73.30,0.00,0.00
6559,2021-11-29,臺北市,30-49歲,92.10,73.10,0.00,0.00
6558,2021-11-29,臺北市,18-29歲,92.00,59.50,0.00,0.00
6557,2021-11-29,臺北市,12-17歲,88.00,0.60,0.00,0.00
6556,2021-11-29,臺北市,總計,77.80,60.30,0.00,0.00
6555,2021-12-06,全國,75歲以上,73.70,66.90,0.00,0.00
6554,2021-12-06,全國,65-74歲,84.20,79.40,0.00,0.00
6553,2021-12-06,全國,50-64歲,82.40,73.40,0.00,0.00
6552,2021-12-06,全國,30-49歲,89.80,72.70,0.00,0.00
6551,2021-12-06,全國,18-29歲,93.50,66.40,0.00,0.00
6550,2021-12-06,全國,12-17歲,89.40,0.50,0.00,0.00
6549,2021-12-06,全國,總計,78.20,61.30,0.00,0.00
6548,2021-12-06,連江縣,75歲以上,83.40,77.00,0.00,0.00
6547,2021-12-06,連江縣,65-74歲,93.90,91.20,0.00,0.00
6546,2021-12-06,連江縣,50-64歲,90.80,85.90,0.00,0.00
6545,2021-12-06,連江縣,30-49歲,95.60,89.80,0.00,0.00
6544,2021-12-06,連江縣,18-29歲,97.50,87.40,0.00,0.00
6543,2021-12-06,連江縣,12-17歲,92.30,0.60,0.00,0.00
6542,2021-12-06,連江縣,總計,85.40,76.50,0.00,0.00
6541,2021-12-06,金門縣,75歲以上,72.40,65.50,0.00,0.00
6540,2021-12-06,金門縣,65-74歲,88.20,83.60,0.00,0.00
6539,2021-12-06,金門縣,50-64歲,86.70,77.90,0.00,0.00
6538,2021-12-06,金門縣,30-49歲,89.60,77.50,0.00,0.00
6537,2021-12-06,金門縣,18-29歲,91.70,73.80,0.00,0.00
6536,2021-12-06,金門縣,12-17歲,90.40,0.50,0.00,0.00
6535,2021-12-06,金門縣,總計,81.80,68.60,0.00,0.00
6534,2021-12-06,澎湖縣,75歲以上,64.90,57.80,0.00,0.00
6533,2021-12-06,澎湖縣,65-74歲,83.30,77.10,0.00,0.00
6532,2021-12-06,澎湖縣,50-64歲,84.90,76.50,0.00,0.00
6531,2021-12-06,澎湖縣,30-49歲,90.80,78.80,0.00,0.00
6530,2021-12-06,澎湖縣,18-29歲,94.60,78.70,0.00,0.00
6529,2021-12-06,澎湖縣,12-17歲,90.60,0.20,0.00,0.00
6528,2021-12-06,澎湖縣,總計,79.90,66.80,0.00,0.00
6527,2021-12-06,南投縣,75歲以上,73.50,65.80,0.00,0.00
6526,2021-12-06,南投縣,65-74歲,85.40,78.30,0.00,0.00
6525,2021-12-06,南投縣,50-64歲,79.40,69.40,0.00,0.00
6524,2021-12-06,南投縣,30-49歲,86.10,66.60,0.00,0.00
6523,2021-12-06,南投縣,18-29歲,91.10,64.80,0.00,0.00
6522,2021-12-06,南投縣,12-17歲,90.00,0.50,0.00,0.00
6521,2021-12-06,南投縣,總計,77.30,59.50,0.00,0.00
6520,2021-12-06,臺東縣,75歲以上,67.30,57.10,0.00,0.00
6519,2021-12-06,臺東縣,65-74歲,75.00,67.00,0.00,0.00
6518,2021-12-06,臺東縣,50-64歲,73.10,62.00,0.00,0.00
6517,2021-12-06,臺東縣,30-49歲,76.00,58.10,0.00,0.00
6516,2021-12-06,臺東縣,18-29歲,81.00,55.60,0.00,0.00
6515,2021-12-06,臺東縣,12-17歲,86.40,0.20,0.00,0.00
6514,2021-12-06,臺東縣,總計,69.20,51.40,0.00,0.00
6513,2021-12-06,花蓮縣,75歲以上,66.00,59.00,0.00,0.00
6512,2021-12-06,花蓮縣,65-74歲,78.00,72.30,0.00,0.00
6511,2021-12-06,花蓮縣,50-64歲,76.60,67.00,0.00,0.00
6510,2021-12-06,花蓮縣,30-49歲,82.10,65.00,0.00,0.00
6509,2021-12-06,花蓮縣,18-29歲,85.40,60.20,0.00,0.00
6508,2021-12-06,花蓮縣,12-17歲,87.40,0.50,0.00,0.00
6507,2021-12-06,花蓮縣,總計,72.50,55.90,0.00,0.00
6506,2021-12-06,嘉義縣,75歲以上,69.90,61.80,0.00,0.00
6505,2021-12-06,嘉義縣,65-74歲,82.80,77.20,0.00,0.00
6504,2021-12-06,嘉義縣,50-64歲,78.70,69.20,0.00,0.00
