id,發佈統計日期,縣市,群組,第1劑,第2劑,加強劑,追加劑
9328,2021-11-22,宜蘭縣,50-64歲,83.30,64.80,0.00,0.00
9327,2021-11-22,宜蘭縣,30-49歲,89.40,56.30,0.00,0.00
9326,2021-11-22,宜蘭縣,18-29歲,90.50,46.20,0.00,0.00
9325,2021-11-22,宜蘭縣,12-17歲,87.90,0.10,0.00,0.00
9324,2021-11-22,宜蘭縣,總計,78.30,51.70,0.00,0.00
9323,2021-11-22,基隆市,75歲以上,77.50,70.00,0.00,0.00
9322,2021-11-22,基隆市,65-74歲,87.60,82.40,0.00,0.00
9321,2021-11-22,基隆市,50-64歲,83.20,63.40,0.00,0.00
9320,2021-11-22,基隆市,30-49歲,89.50,55.50,0.00,0.00
9319,2021-11-22,基隆市,18-29歲,91.50,45.10,0.00,0.00
9318,2021-11-22,基隆市,12-17歲,91.10,2.70,0.00,0.00
9317,2021-11-22,基隆市,總計,80.30,53.20,0.00,0.00
9316,2021-11-22,屏東縣,75歲以上,70.30,62.10,0.00,0.00
9315,2021-11-22,屏東縣,65-74歲,81.90,75.30,0.00,0.00
9314,2021-11-22,屏東縣,50-64歲,77.20,59.20,0.00,0.00
9313,2021-11-22,屏東縣,30-49歲,81.70,50.10,0.00,0.00
9312,2021-11-22,屏東縣,18-29歲,85.80,44.50,0.00,0.00
9311,2021-11-22,屏東縣,12-17歲,87.70,0.20,0.00,0.00
9310,2021-11-22,屏東縣,總計,74.20,48.70,0.00,0.00
9309,2021-11-22,雲林縣,75歲以上,71.80,63.10,0.00,0.00
9308,2021-11-22,雲林縣,65-74歲,80.80,73.50,0.00,0.00
9307,2021-11-22,雲林縣,50-64歲,80.00,63.60,0.00,0.00
9306,2021-11-22,雲林縣,30-49歲,86.10,49.60,0.00,0.00
9305,2021-11-22,雲林縣,18-29歲,89.90,42.90,0.00,0.00
9304,2021-11-22,雲林縣,12-17歲,88.80,0.20,0.00,0.00
9303,2021-11-22,雲林縣,總計,76.40,48.70,0.00,0.00
9302,2021-11-22,彰化縣,75歲以上,72.70,66.40,0.00,0.00
9301,2021-11-22,彰化縣,65-74歲,84.90,78.70,0.00,0.00
9300,2021-11-22,彰化縣,50-64歲,81.60,63.70,0.00,0.00
9299,2021-11-22,彰化縣,30-49歲,89.30,50.90,0.00,0.00
9298,2021-11-22,彰化縣,18-29歲,95.10,44.50,0.00,0.00
9297,2021-11-22,彰化縣,12-17歲,90.00,0.20,0.00,0.00
9296,2021-11-22,彰化縣,總計,78.20,48.70,0.00,0.00
9295,2021-11-22,新竹縣,75歲以上,65.70,58.00,0.00,0.00
9294,2021-11-22,新竹縣,65-74歲,81.60,74.10,0.00,0.00
9293,2021-11-22,新竹縣,50-64歲,81.00,57.80,0.00,0.00
9292,2021-11-22,新竹縣,30-49歲,94.00,50.50,0.00,0.00
9291,2021-11-22,新竹縣,18-29歲,94.40,41.20,0.00,0.00
9290,2021-11-22,新竹縣,12-17歲,89.30,0.20,0.00,0.00
9289,2021-11-22,新竹縣,總計,76.60,43.10,0.00,0.00
9288,2021-11-22,高雄市,75歲以上,71.40,62.70,0.00,0.00
9287,2021-11-22,高雄市,65-74歲,85.50,78.70,0.00,0.00
9286,2021-11-22,高雄市,50-64歲,79.70,61.60,0.00,0.00
9285,2021-11-22,高雄市,30-49歲,86.30,52.20,0.00,0.00
9284,2021-11-22,高雄市,18-29歲,89.90,43.10,0.00,0.00
9283,2021-11-22,高雄市,12-17歲,89.40,0.50,0.00,0.00
9282,2021-11-22,高雄市,總計,76.60,49.30,0.00,0.00
9281,2021-11-22,臺南市,75歲以上,67.80,60.40,0.00,0.00
9280,2021-11-22,臺南市,65-74歲,77.80,70.80,0.00,0.00
9279,2021-11-22,臺南市,50-64歲,77.50,56.90,0.00,0.00
9278,2021-11-22,臺南市,30-49歲,85.60,48.30,0.00,0.00
9277,2021-11-22,臺南市,18-29歲,90.70,41.20,0.00,0.00
9276,2021-11-22,臺南市,12-17歲,88.60,0.30,0.00,0.00
9275,2021-11-22,臺南市,總計,74.70,45.60,0.00,0.00
9274,2021-11-22,臺中市,75歲以上,75.10,68.00,0.00,0.00
9273,2021-11-22,臺中市,65-74歲,84.90,79.50,0.00,0.00
9272,2021-11-22,臺中市,50-64歲,81.30,60.30,0.00,0.00
9271,2021-11-22,臺中市,30-49歲,88.20,52.00,0.00,0.00
9270,2021-11-22,臺中市,18-29歲,91.80,44.80,0.00,0.00
9269,2021-11-22,臺中市,12-17歲,89.60,0.30,0.00,0.00
9268,2021-11-22,臺中市,總計,76.70,47.40,0.00,0.00
9267,2021-11-22,桃園市,75歲以上,78.40,70.50,0.00,0.00
9266,2021-11-22,桃園市,65-74歲,86.40,81.40,0.00,0.00
9265,2021-11-22,桃園市,50-64歲,82.70,60.80,0.00,0.00
9264,2021-11-22,桃園市,30-49歲,92.80,52.80,0.00,0.00
9263,2021-11-22,桃園市,18-29歲,94.60,43.20,0.00,0.00
9262,2021-11-22,桃園市,12-17歲,89.90,0.30,0.00,0.00
9261,2021-11-22,桃園市,總計,78.90,47.20,0.00,0.00
9260,2021-11-22,新北市,75歲以上,72.90,66.40,0.00,0.00
9259,2021-11-22,新北市,65-74歲,83.20,77.70,0.00,0.00
9258,2021-11-22,新北市,50-64歲,83.90,65.80,0.00,0.00
9257,2021-11-22,新北市,30-49歲,90.40,55.30,0.00,0.00
9256,2021-11-22,新北市,18-29歲,93.10,43.20,0.00,0.00
9255,2021-11-22,新北市,12-17歲,90.20,0.30,0.00,0.00
9254,2021-11-22,新北市,總計,79.10,51.10,0.00,0.00
9253,2021-11-22,臺北市,75歲以上,74.80,67.90,0.00,0.00
9252,2021-11-22,臺北市,65-74歲,81.10,75.20,0.00,0.00
9251,2021-11-22,臺北市,50-64歲,83.40,63.90,0.00,0.00
9250,2021-11-22,臺北市,30-49歲,91.20,59.00,0.00,0.00
9249,2021-11-22,臺北市,18-29歲,90.90,46.60,0.00,0.00
9248,2021-11-22,臺北市,12-17歲,88.00,0.40,0.00,0.00
9247,2021-11-22,臺北市,總計,77.30,52.20,0.00,0.00
9246,2021-11-29,全國,75歲以上,72.80,65.60,0.00,0.00
9245,2021-11-29,全國,65-74歲,83.30,77.80,0.00,0.00
9244,2021-11-29,全國,50-64歲,81.80,67.90,0.00,0.00
9243,2021-11-29,全國,30-49歲,89.50,64.60,0.00,0.00
9242,2021-11-29,全國,18-29歲,93.00,55.30,0.00,0.00
9241,2021-11-29,全國,12-17歲,89.30,0.40,0.00,0.00
9240,2021-11-29,全國,總計,77.80,55.70,0.00,0.00
9239,2021-11-29,連江縣,75歲以上,83.60,77.00,0.00,0.00
9238,2021-11-29,連江縣,65-74歲,93.50,90.00,0.00,0.00
9237,2021-11-29,連江縣,50-64歲,90.30,83.60,0.00,0.00
9236,2021-11-29,連江縣,30-49歲,95.80,86.40,0.00,0.00
9235,2021-11-29,連江縣,18-29歲,97.60,82.50,0.00,0.00
9234,2021-11-29,連江縣,12-17歲,92.30,0.60,0.00,0.00
9233,2021-11-29,連江縣,總計,85.40,73.90,0.00,0.00
9232,2021-11-29,金門縣,75歲以上,72.30,65.20,0.00,0.00
9231,2021-11-29,金門縣,65-74歲,87.70,82.50,0.00,0.00
9230,2021-11-29,金門縣,50-64歲,86.30,73.20,0.00,0.00
9229,2021-11-29,金門縣,30-49歲,90.00,70.60,0.00,0.00
9228,2021-11-29,金門縣,18-29歲,91.70,65.20,0.00,0.00
9227,2021-11-29,金門縣,12-17歲,90.50,0.50,0.00,0.00
9226,2021-11-29,金門縣,總計,81.70,63.70,0.00,0.00
9225,2021-11-29,澎湖縣,75歲以上,64.60,57.30,0.00,0.00
9224,2021-11-29,澎湖縣,65-74歲,83.10,76.20,0.00,0.00
9223,2021-11-29,澎湖縣,50-64歲,84.50,74.10,0.00,0.00
9222,2021-11-29,澎湖縣,30-49歲,91.00,74.30,0.00,0.00
9221,2021-11-29,澎湖縣,18-29歲,94.40,73.50,0.00,0.00
9220,2021-11-29,澎湖縣,12-17歲,90.80,0.20,0.00,0.00
9219,2021-11-29,澎湖縣,總計,79.80,63.80,0.00,0.00
9218,2021-11-29,南投縣,75歲以上,73.20,65.40,0.00,0.00
9217,2021-11-29,南投縣,65-74歲,85.10,77.40,0.00,0.00
9216,2021-11-29,南投縣,50-64歲,79.50,64.60,0.00,0.00
9215,2021-11-29,南投縣,30-49歲,86.10,60.10,0.00,0.00
9214,2021-11-29,南投縣,18-29歲,91.00,56.10,0.00,0.00
9213,2021-11-29,南投縣,12-17歲,90.20,0.40,0.00,0.00
9212,2021-11-29,南投縣,總計,77.30,55.00,0.00,0.00
9211,2021-11-29,臺東縣,75歲以上,66.90,56.40,0.00,0.00
9210,2021-11-29,臺東縣,65-74歲,74.40,66.00,0.00,0.00
9209,2021-11-29,臺東縣,50-64歲,72.80,57.50,0.00,0.00
9208,2021-11-29,臺東縣,30-49歲,75.80,51.50,0.00,0.00
9207,2021-11-29,臺東縣,18-29歲,81.00,50.00,0.00,0.00
9206,2021-11-29,臺東縣,12-17歲,86.60,0.20,0.00,0.00
9205,2021-11-29,臺東縣,總計,69.00,47.40,0.00,0.00
9204,2021-11-29,花蓮縣,75歲以上,65.80,58.50,0.00,0.00
9203,2021-11-29,花蓮縣,65-74歲,77.60,71.40,0.00,0.00
9202,2021-11-29,花蓮縣,50-64歲,76.80,61.90,0.00,0.00
9201,2021-11-29,花蓮縣,30-49歲,82.10,57.60,0.00,0.00
9200,2021-11-29,花蓮縣,18-29歲,85.40,52.00,0.00,0.00
9199,2021-11-29,花蓮縣,12-17歲,87.70,0.50,0.00,0.00
9198,2021-11-29,花蓮縣,總計,72.50,51.20,0.00,0.00
9197,2021-11-29,嘉義縣,75歲以上,69.70,61.30,0.00,0.00
9196,2021-11-29,嘉義縣,65-74歲,82.40,76.40,0.00,0.00
9195,2021-11-29,嘉義縣,50-64歲,78.90,64.10,0.00,0.00
9194,2021-11-29,嘉義縣,30-49歲,84.20,58.00,0.00,0.00
9193,2021-11-29,嘉義縣,18-29歲,90.40,54.30,0.00,0.00
9192,2021-11-29,嘉義縣,12-17歲,89.80,0.40,0.00,0.00
9191,2021-11-29,嘉義縣,總計,76.80,54.80,0.00,0.00
9190,2021-11-29,嘉義市,75歲以上,71.90,64.60,0.00,0.00
9189,2021-11-29,嘉義市,65-74歲,81.30,75.30,0.00,0.00
9188,2021-11-29,嘉義市,50-64歲,82.90,72.30,0.00,0.00
9187,2021-11-29,嘉義市,30-49歲,88.50,66.90,0.00,0.00
9186,2021-11-29,嘉義市,18-29歲,91.20,58.60,0.00,0.00
9185,2021-11-29,嘉義市,12-17歲,90.60,0.40,0.00,0.00
9184,2021-11-29,嘉義市,總計,77.10,56.80,0.00,0.00
9183,2021-11-29,苗栗縣,75歲以上,67.80,60.00,0.00,0.00
9182,2021-11-29,苗栗縣,65-74歲,78.70,71.90,0.00,0.00
9181,2021-11-29,苗栗縣,50-64歲,78.90,62.00,0.00,0.00
9180,2021-11-29,苗栗縣,30-49歲,89.20,57.60,0.00,0.00
9179,2021-11-29,苗栗縣,18-29歲,92.70,52.20,0.00,0.00
9178,2021-11-29,苗栗縣,12-17歲,89.10,0.20,0.00,0.00
9177,2021-11-29,苗栗縣,總計,76.40,50.90,0.00,0.00
9176,2021-11-29,新竹市,75歲以上,78.40,71.10,0.00,0.00
9175,2021-11-29,新竹市,65-74歲,86.50,81.90,0.00,0.00
9174,2021-11-29,新竹市,50-64歲,82.90,67.90,0.00,0.00
9173,2021-11-29,新竹市,30-49歲,92.10,65.20,0.00,0.00
9172,2021-11-29,新竹市,18-29歲,98.20,55.50,0.00,0.00
9171,2021-11-29,新竹市,12-17歲,90.00,0.40,0.00,0.00
9170,2021-11-29,新竹市,總計,77.60,53.20,0.00,0.00
9169,2021-11-29,宜蘭縣,75歲以上,76.20,70.20,0.00,0.00
9168,2021-11-29,宜蘭縣,65-74歲,83.50,77.60,0.00,0.00
9167,2021-11-29,宜蘭縣,50-64歲,83.90,71.40,0.00,0.00
9166,2021-11-29,宜蘭縣,30-49歲,89.90,67.50,0.00,0.00
9165,2021-11-29,宜蘭縣,18-29歲,91.10,58.50,0.00,0.00
9164,2021-11-29,宜蘭縣,12-17歲,87.90,0.20,0.00,0.00
9163,2021-11-29,宜蘭縣,總計,78.80,58.60,0.00,0.00
9162,2021-11-29,基隆市,75歲以上,77.60,70.40,0.00,0.00
9161,2021-11-29,基隆市,65-74歲,87.80,82.90,0.00,0.00
9160,2021-11-29,基隆市,50-64歲,83.90,71.40,0.00,0.00
9159,2021-11-29,基隆市,30-49歲,90.40,67.40,0.00,0.00
9158,2021-11-29,基隆市,18-29歲,92.20,54.90,0.00,0.00
9157,2021-11-29,基隆市,12-17歲,91.10,2.80,0.00,0.00
9156,2021-11-29,基隆市,總計,80.80,60.30,0.00,0.00
9155,2021-11-29,屏東縣,75歲以上,70.50,62.60,0.00,0.00
9154,2021-11-29,屏東縣,65-74歲,82.20,75.90,0.00,0.00
9153,2021-11-29,屏東縣,50-64歲,77.80,63.90,0.00,0.00
9152,2021-11-29,屏東縣,30-49歲,82.30,60.30,0.00,0.00
9151,2021-11-29,屏東縣,18-29歲,87.30,54.70,0.00,0.00
9150,2021-11-29,屏東縣,12-17歲,87.70,0.30,0.00,0.00
9149,2021-11-29,屏東縣,總計,74.80,54.50,0.00,0.00
9148,2021-11-29,雲林縣,75歲以上,71.90,63.60,0.00,0.00
9147,2021-11-29,雲林縣,65-74歲,81.10,74.50,0.00,0.00
9146,2021-11-29,雲林縣,50-64歲,80.70,67.60,0.00,0.00
9145,2021-11-29,雲林縣,30-49歲,87.00,60.10,0.00,0.00
9144,2021-11-29,雲林縣,18-29歲,91.90,52.70,0.00,0.00
9143,2021-11-29,雲林縣,12-17歲,88.80,0.30,0.00,0.00
9142,2021-11-29,雲林縣,總計,77.20,54.30,0.00,0.00
9141,2021-11-29,彰化縣,75歲以上,73.00,66.90,0.00,0.00
9140,2021-11-29,彰化縣,65-74歲,85.20,79.80,0.00,0.00
9139,2021-11-29,彰化縣,50-64歲,82.40,69.40,0.00,0.00
9138,2021-11-29,彰化縣,30-49歲,90.40,65.30,0.00,0.00
9137,2021-11-29,彰化縣,18-29歲,97.70,55.40,0.00,0.00
9136,2021-11-29,彰化縣,12-17歲,90.00,0.30,0.00,0.00
9135,2021-11-29,彰化縣,總計,79.20,56.20,0.00,0.00
9134,2021-11-29,新竹縣,75歲以上,65.90,58.70,0.00,0.00
9133,2021-11-29,新竹縣,65-74歲,82.00,75.50,0.00,0.00
9132,2021-11-29,新竹縣,50-64歲,81.70,65.50,0.00,0.00
9131,2021-11-29,新竹縣,30-49歲,94.90,63.90,0.00,0.00
9130,2021-11-29,新竹縣,18-29歲,95.70,53.70,0.00,0.00
9129,2021-11-29,新竹縣,12-17歲,89.30,0.30,0.00,0.00
9128,2021-11-29,新竹縣,總計,77.30,51.10,0.00,0.00
9127,2021-11-29,高雄市,75歲以上,71.60,63.10,0.00,0.00
9126,2021-11-29,高雄市,65-74歲,85.70,79.50,0.00,0.00
9125,2021-11-29,高雄市,50-64歲,80.10,66.60,0.00,0.00
9124,2021-11-29,高雄市,30-49歲,86.80,64.00,0.00,0.00
9123,2021-11-29,高雄市,18-29歲,91.80,55.60,0.00,0.00
9122,2021-11-29,高雄市,12-17歲,89.40,0.60,0.00,0.00
9121,2021-11-29,高雄市,總計,77.10,56.10,0.00,0.00
9120,2021-11-29,臺南市,75歲以上,68.00,60.90,0.00,0.00
9119,2021-11-29,臺南市,65-74歲,78.20,71.70,0.00,0.00
9118,2021-11-29,臺南市,50-64歲,78.10,62.00,0.00,0.00
9117,2021-11-29,臺南市,30-49歲,86.40,59.00,0.00,0.00
9116,2021-11-29,臺南市,18-29歲,92.70,53.40,0.00,0.00
9115,2021-11-29,臺南市,12-17歲,88.60,0.30,0.00,0.00
9114,2021-11-29,臺南市,總計,75.40,51.90,0.00,0.00
9113,2021-11-29,臺中市,75歲以上,75.30,68.40,0.00,0.00
9112,2021-11-29,臺中市,65-74歲,85.20,80.50,0.00,0.00
9111,2021-11-29,臺中市,50-64歲,81.90,66.50,0.00,0.00
9110,2021-11-29,臺中市,30-49歲,89.10,62.10,0.00,0.00
9109,2021-11-29,臺中市,18-29歲,93.20,54.40,0.00,0.00
9108,2021-11-29,臺中市,12-17歲,89.60,0.40,0.00,0.00
9107,2021-11-29,臺中市,總計,77.40,53.50,0.00,0.00
9106,2021-11-29,桃園市,75歲以上,78.60,70.90,0.00,0.00
9105,2021-11-29,桃園市,65-74歲,86.70,81.90,0.00,0.00
9104,2021-11-29,桃園市,50-64歲,83.40,68.20,0.00,0.00
9103,2021-11-29,桃園市,30-49歲,94.80,66.20,0.00,0.00
9102,2021-11-29,桃園市,18-29歲,96.60,53.20,0.00,0.00
9101,2021-11-29,桃園市,12-17歲,89.90,0.40,0.00,0.00
9100,2021-11-29,桃園市,總計,80.00,54.70,0.00,0.00
9099,2021-11-29,新北市,75歲以上,73.10,67.00,0.00,0.00
9098,2021-11-29,新北市,65-74歲,83.60,78.90,0.00,0.00
9097,2021-11-29,新北市,50-64歲,84.40,71.00,0.00,0.00
9096,2021-11-29,新北市,30-49歲,90.90,66.50,0.00,0.00
9095,2021-11-29,新北市,18-29歲,93.60,55.90,0.00,0.00
9094,2021-11-29,新北市,12-17歲,90.10,0.40,0.00,0.00
9093,2021-11-29,新北市,總計,79.50,57.80,0.00,0.00
9092,2021-11-29,臺北市,75歲以上,75.00,68.60,0.00,0.00
9091,2021-11-29,臺北市,65-74歲,81.30,76.40,0.00,0.00
9090,2021-11-29,臺北市,50-64歲,83.60,73.30,0.00,0.00
9089,2021-11-29,臺北市,30-49歲,92.10,73.10,0.00,0.00
9088,2021-11-29,臺北市,18-29歲,92.00,59.50,0.00,0.00
9087,2021-11-29,臺北市,12-17歲,88.00,0.60,0.00,0.00
9086,2021-11-29,臺北市,總計,77.80,60.30,0.00,0.00
9085,2021-12-06,全國,75歲以上,73.70,66.90,0.00,0.00
9084,2021-12-06,全國,65-74歲,84.20,79.40,0.00,0.00
9083,2021-12-06,全國,50-64歲,82.40,73.40,0.00,0.00
9082,2021-12-06,全國,30-49歲,89.80,72.70,0.00,0.00
9081,2021-12-06,全國,18-29歲,93.50,66.40,0.00,0.00
9080,2021-12-06,全國,12-17歲,89.40,0.50,0.00,0.00
9079,2021-12-06,全國,總計,78.20,61.30,0.00,0.00
9078,2021-12-06,連江縣,75歲以上,83.40,77.00,0.00,0.00
9077,2021-12-06,連江縣,65-74歲,93.90,91.20,0.00,0.00
9076,2021-12-06,連江縣,50-64歲,90.80,85.90,0.00,0.00
9075,2021-12-06,連江縣,30-49歲,95.60,89.80,0.00,0.00
9074,2021-12-06,連江縣,18-29歲,97.50,87.40,0.00,0.00
9073,2021-12-06,連江縣,12-17歲,92.30,0.60,0.00,0.00
9072,2021-12-06,連江縣,總計,85.40,76.50,0.00,0.00
9071,2021-12-06,金門縣,75歲以上,72.40,65.50,0.00,0.00
9070,2021-12-06,金門縣,65-74歲,88.20,83.60,0.00,0.00
9069,2021-12-06,金門縣,50-64歲,86.70,77.90,0.00,0.00
9068,2021-12-06,金門縣,30-49歲,89.60,77.50,0.00,0.00
9067,2021-12-06,金門縣,18-29歲,91.70,73.80,0.00,0.00
9066,2021-12-06,金門縣,12-17歲,90.40,0.50,0.00,0.00
9065,2021-12-06,金門縣,總計,81.80,68.60,0.00,0.00
9064,2021-12-06,澎湖縣,75歲以上,64.90,57.80,0.00,0.00
9063,2021-12-06,澎湖縣,65-74歲,83.30,77.10,0.00,0.00
9062,2021-12-06,澎湖縣,50-64歲,84.90,76.50,0.00,0.00
9061,2021-12-06,澎湖縣,30-49歲,90.80,78.80,0.00,0.00
9060,2021-12-06,澎湖縣,18-29歲,94.60,78.70,0.00,0.00
9059,2021-12-06,澎湖縣,12-17歲,90.60,0.20,0.00,0.00
9058,2021-12-06,澎湖縣,總計,79.90,66.80,0.00,0.00
9057,2021-12-06,南投縣,75歲以上,73.50,65.80,0.00,0.00
9056,2021-12-06,南投縣,65-74歲,85.40,78.30,0.00,0.00
9055,2021-12-06,南投縣,50-64歲,79.40,69.40,0.00,0.00
9054,2021-12-06,南投縣,30-49歲,86.10,66.60,0.00,0.00
9053,2021-12-06,南投縣,18-29歲,91.10,64.80,0.00,0.00
9052,2021-12-06,南投縣,12-17歲,90.00,0.50,0.00,0.00
9051,2021-12-06,南投縣,總計,77.30,59.50,0.00,0.00
9050,2021-12-06,臺東縣,75歲以上,67.30,57.10,0.00,0.00
9049,2021-12-06,臺東縣,65-74歲,75.00,67.00,0.00,0.00
9048,2021-12-06,臺東縣,50-64歲,73.10,62.00,0.00,0.00
9047,2021-12-06,臺東縣,30-49歲,76.00,58.10,0.00,0.00
9046,2021-12-06,臺東縣,18-29歲,81.00,55.60,0.00,0.00
9045,2021-12-06,臺東縣,12-17歲,86.40,0.20,0.00,0.00
9044,2021-12-06,臺東縣,總計,69.20,51.40,0.00,0.00
9043,2021-12-06,花蓮縣,75歲以上,66.00,59.00,0.00,0.00
9042,2021-12-06,花蓮縣,65-74歲,78.00,72.30,0.00,0.00
9041,2021-12-06,花蓮縣,50-64歲,76.60,67.00,0.00,0.00
9040,2021-12-06,花蓮縣,30-49歲,82.10,65.00,0.00,0.00
9039,2021-12-06,花蓮縣,18-29歲,85.40,60.20,0.00,0.00
9038,2021-12-06,花蓮縣,12-17歲,87.40,0.50,0.00,0.00
9037,2021-12-06,花蓮縣,總計,72.50,55.90,0.00,0.00
9036,2021-12-06,嘉義縣,75歲以上,69.90,61.80,0.00,0.00
9035,2021-12-06,嘉義縣,65-74歲,82.80,77.20,0.00,0.00
9034,2021-12-06,嘉義縣,50-64歲,78.70,69.20,0.00,0.00
