日期,週次,新增確診,每週新增確診,確診總人數,不明性別,不明總數,新增男性,男性總數,確診男性率,新增女性,女性總數,確診女性率,新增軍人,敦睦總人數,軍隊率,新增境外,境外總人數,境外率,新增本土,本土總人數,本土率,新增不明,不明總人數,不明率,新增死亡,死亡總人數,死亡率,當日未知感染源數,未知感染源總數,已知感染源數,新增解除隔離,解除隔離數,解除隔離+死亡,未解除隔離數,備註,,,
02月21日 星期五,8,+2,,26,+0,0,+0,11,42.31%,+2,15,57.69%,+0,0,0.00%,+0,16,61.54%,+2,10,38.46%,+0,0,0.00%,+0,1,3.85%,+0,1,25,+0,2,3,23,,,馬來西亞籍,130
02月22日 星期六,8,+0,+8,26,+0,0,+0,11,42.31%,+0,15,57.69%,+0,0,0.00%,+0,16,61.54%,+0,10,38.46%,+0,0,0.00%,+0,1,3.85%,+0,1,25,+0,2,3,23,#19找出感染源(浙江台商),,波蘭籍,19
02月23日 星期日,9,+2,,28,+0,0,+2,13,46.43%,+0,15,53.57%,+0,0,0.00%,+0,16,57.14%,+2,12,42.86%,+0,0,0.00%,+0,1,3.57%,+1,2,26,+3,5,6,22,,,奈及利亞籍,5
02月24日 星期一,9,+2,,30,+0,0,+1,14,46.67%,+1,16,53.33%,+0,0,0.00%,+0,16,53.33%,+2,14,46.67%,+0,0,0.00%,+0,1,3.33%,+0,2,28,+0,5,6,24,,,墨西哥籍,8
02月25日 星期二,9,+1,,31,+0,0,+1,15,48.39%,+0,16,51.61%,+0,0,0.00%,+0,16,51.61%,+1,15,48.39%,+0,0,0.00%,+0,1,3.23%,+0,2,29,+0,5,6,25,,,南非籍,24
02月26日 星期三,9,+1,,32,+0,0,+0,15,46.88%,+1,17,53.13%,+0,0,0.00%,+0,16,50.00%,+1,16,50.00%,+0,0,0.00%,+0,1,3.13%,+0,2,30,+0,5,6,26,,,孟加拉籍,15
02月27日 星期四,9,+0,,32,+0,0,+0,15,46.88%,+0,17,53.13%,+0,0,0.00%,+0,16,50.00%,+0,16,50.00%,+0,0,0.00%,+0,1,3.13%,+0,2,30,+0,5,6,26,,,愛爾蘭籍,14
02月28日 星期五,9,+2,,34,+0,0,+1,16,47.06%,+1,18,52.94%,+0,0,0.00%,+1,17,50.00%,+1,17,50.00%,+0,0,0.00%,+0,1,2.94%,+1,3,31,+4,9,10,24,#34 院內感染未知感染源,,瑞士籍,7
02月29日 星期六,9,+5,+13,39,+0,0,+0,16,41.03%,+5,23,58.97%,+0,0,0.00%,+1,18,46.15%,+4,21,53.85%,+0,0,0.00%,+0,1,2.56%,+0,3,36,+0,9,10,29,,,德國籍,22
03月01日 星期日,10,+1,,40,+0,0,+0,16,40.00%,+1,24,60.00%,+0,0,0.00%,+1,19,47.50%,+0,21,52.50%,+0,0,0.00%,+0,1,2.50%,+0,3,37,+3,12,13,27,,,烏克蘭籍,22
03月02日 星期一,10,+1,,41,+0,0,+0,16,39.02%,+1,25,60.98%,+0,0,0.00%,+0,19,46.34%,+1,22,53.66%,+0,0,0.00%,+0,1,2.44%,+0,3,38,+0,12,13,28,,,比利時籍,10
03月03日 星期二,10,+1,,42,+0,0,+0,16,38.10%,+1,26,61.90%,+0,0,0.00%,+0,19,45.24%,+1,23,54.76%,+0,0,0.00%,+0,1,2.38%,+0,3,39,+0,12,13,29,,,日本籍,47
03月04日 星期三,10,+0,,42,+0,0,+0,16,38.10%,+0,26,61.90%,+0,0,0.00%,+0,19,45.24%,+0,23,54.76%,+0,0,0.00%,+0,1,2.38%,+0,3,39,+0,12,13,29,,,荷蘭籍,34
03月05日 星期四,10,+2,,44,+0,0,+1,17,38.64%,+1,27,61.36%,+0,0,0.00%,+1,20,45.45%,+1,24,54.55%,+0,0,0.00%,+0,1,2.27%,+0,3,41,+0,12,13,31,,,巴拉圭籍,10
03月06日 星期五,10,+1,,45,+0,0,+0,17,37.78%,+1,28,62.22%,+0,0,0.00%,+0,20,44.44%,+1,25,55.56%,+0,0,0.00%,+0,1,2.22%,+0,3,42,+3,15,16,29,12名出院,,埃及籍,7
03月07日 星期六,10,+0,+6,45,+0,0,+0,17,37.78%,+0,28,62.22%,+0,0,0.00%,+0,20,44.44%,+0,25,55.56%,+0,0,0.00%,+0,1,2.22%,+0,3,42,+0,15,16,29,,,中國籍,34
03月08日 星期日,11,+0,,45,+0,0,+0,17,37.78%,+0,28,62.22%,+0,0,0.00%,+0,20,44.44%,+0,25,55.56%,+0,0,0.00%,+0,1,2.22%,+0,3,42,+0,15,16,29,,,緬甸籍,71
03月09日 星期一,11,+0,,45,+0,0,+0,17,37.78%,+0,28,62.22%,+0,0,0.00%,+0,20,44.44%,+0,25,55.56%,+0,0,0.00%,+0,1,2.22%,+0,3,42,+0,15,16,29,,,印度籍,147
03月10日 星期二,11,+2,,47,+0,0,+2,19,40.43%,+0,28,59.57%,+0,0,0.00%,+1,21,44.68%,+1,26,55.32%,+0,0,0.00%,+0,1,2.13%,+0,3,44,+2,17,18,29,,,法國籍,28
03月11日 星期三,11,+1,,48,+0,0,+0,19,39.58%,+1,29,60.42%,+0,0,0.00%,+1,22,45.83%,+0,26,54.17%,+0,0,0.00%,+0,1,2.08%,+0,3,45,+0,17,18,30,,,英國籍,77
03月12日 星期四,11,+1,,49,+0,0,+0,19,38.78%,+1,30,61.22%,+0,0,0.00%,+1,23,46.94%,+0,26,53.06%,+0,0,0.00%,+0,1,2.04%,+0,3,46,+3,20,21,28,,,俄羅斯籍,39
03月13日 星期五,11,+1,,50,+0,0,+1,20,40.00%,+0,30,60.00%,+0,0,0.00%,+0,23,46.00%,+1,27,54.00%,+0,0,0.00%,+0,1,2.00%,+0,3,47,+0,20,21,29,,,美國籍,189
03月14日 星期六,11,+3,+8,53,+0,0,+3,23,43.40%,+0,30,56.60%,+0,0,0.00%,+3,26,49.06%,+0,27,50.94%,+0,0,0.00%,+0,1,1.89%,+0,3,50,+0,20,21,32,,,菲律賓籍,477
03月15日 星期日,12,+6,,59,+0,0,+4,27,45.76%,+2,32,54.24%,+0,0,0.00%,+6,32,54.24%,+0,27,45.76%,+0,0,0.00%,+0,1,1.69%,+0,3,56,+0,20,21,38,,,印尼籍,963
03月16日 星期一,12,+8,,67,+0,0,+3,30,44.78%,+5,37,55.22%,+0,0,0.00%,+8,40,59.70%,+0,27,40.30%,+0,0,0.00%,+0,1,1.49%,+0,3,64,+2,22,23,44,,,哈薩克籍,4
03月17日 星期二,12,+10,,77,+0,0,+5,35,45.45%,+5,42,54.55%,+0,0,0.00%,+10,50,64.94%,+0,27,35.06%,+0,0,0.00%,+0,1,1.30%,+0,3,74,+0,22,23,54,,,敘利亞籍,1
03月18日 星期三,12,+23,,100,+0,0,+10,45,45.00%,+13,55,55.00%,+0,0,0.00%,+21,71,71.00%,+2,29,29.00%,+0,0,0.00%,+0,1,1.00%,+1,4,96,+0,22,23,77,#100未知感染源,,阿爾巴尼亞籍,1
03月19日 星期四,12,+8,,108,+0,0,+6,51,47.22%,+2,57,52.78%,+0,0,0.00%,+7,78,72.22%,+1,30,27.78%,+0,0,0.00%,+0,1,0.93%,+0,4,104,+4,26,27,81,,,加拿大籍,21
03月20日 星期五,12,+27,,135,+0,0,+10,61,45.19%,+17,74,54.81%,+0,0,0.00%,+24,102,75.56%,+3,33,24.44%,+0,0,0.00%,+1,2,1.48%,+1,5,130,+2,28,30,105,"#124,#134未知感染源",,,
03月21日 星期六,12,+18,+100,153,+0,0,+6,67,43.79%,+12,86,56.21%,+0,0,0.00%,+18,120,78.43%,+0,33,21.57%,+0,0,0.00%,+0,2,1.31%,+0,5,148,+0,28,30,123,,,,
03月22日 星期日,13,+16,,169,+0,0,+9,76,44.97%,+7,93,55.03%,+0,0,0.00%,+13,133,78.70%,+3,36,21.30%,+0,0,0.00%,+0,2,1.18%,+1,6,163,+0,28,30,139,"#124←#160,#156護理師尚未知",,,
03月23日 星期一,13,+26,,195,+0,0,+12,88,45.13%,+14,107,54.87%,+0,0,0.00%,+25,158,81.03%,+1,37,18.97%,+0,0,0.00%,+0,2,1.03%,+0,6,189,+1,29,31,164,,,,
03月24日 星期二,13,+21,,216,+0,0,+8,96,44.44%,+13,120,55.56%,+0,0,0.00%,+20,178,82.41%,+1,38,17.59%,+0,0,0.00%,+0,2,0.93%,+0,6,210,+0,29,31,185,,,,
03月25日 星期三,13,+19,,235,+0,0,+7,103,43.83%,+12,132,56.17%,+0,0,0.00%,+19,197,83.83%,+0,38,16.17%,+0,0,0.00%,+0,2,0.85%,+0,6,229,+0,29,31,204,,,,
03月26日 星期四,13,+17,,252,+0,0,+9,112,44.44%,+8,140,55.56%,+0,0,0.00%,+15,212,84.13%,+2,40,15.87%,+0,0,0.00%,+0,2,0.79%,+0,6,246,+0,29,31,221,,,,
03月27日 星期五,13,+15,,267,+0,0,+9,121,45.32%,+6,146,54.68%,+0,0,0.00%,+15,227,85.02%,+0,40,14.98%,+0,0,0.00%,+0,2,0.75%,+0,6,261,+1,30,32,235,,,,
03月28日 星期六,13,+16,+130,283,+0,0,+7,128,45.23%,+9,155,54.77%,+0,0,0.00%,+14,241,85.16%,+2,42,14.84%,+0,0,0.00%,+0,2,0.71%,+1,7,276,+0,30,32,251,"#268,#269未知感染源",,,
03月29日 星期日,14,+15,,298,+0,0,+9,137,45.97%,+6,161,54.03%,+0,0,0.00%,+14,255,85.57%,+1,43,14.43%,+0,0,0.00%,+3,5,1.68%,+0,7,291,+9,39,44,254,#269←#277(觀光局官員兒子),,,
03月30日 星期一,14,+8,,306,+0,0,+5,142,46.41%,+3,164,53.59%,+0,0,0.00%,+7,262,85.62%,+1,44,14.38%,+0,0,0.00%,+0,5,1.63%,+0,7,299,+0,39,44,262,,,,
03月31日 星期二,14,+16,,322,+0,0,+9,151,46.89%,+7,171,53.11%,+0,0,0.00%,+14,276,85.71%,+2,46,14.29%,+0,0,0.00%,+0,5,1.55%,+1,8,314,+0,39,44,278,#322未知感染源,,,
04月01日 星期三,14,+7,,329,+0,0,+3,154,46.81%,+4,175,53.19%,+0,0,0.00%,+7,283,86.02%,+0,46,13.98%,+0,0,0.00%,+0,5,1.52%,+0,8,321,+6,45,50,279,,,,
04月02日 星期四,14,+10,,339,+0,0,+7,161,47.49%,+3,178,52.51%,+0,0,0.00%,+8,291,85.84%,+2,48,14.16%,+0,0,0.00%,+0,5,1.47%,+1,9,330,+5,50,55,284,#336未知感染源,,,
04月03日 星期五,14,+9,,348,+0,0,+2,163,46.84%,+7,185,53.16%,+0,0,0.00%,+7,298,85.63%,+2,50,14.37%,+0,0,0.00%,+0,5,1.44%,+0,9,339,+0,50,55,293,#343待釐清,,,
04月04日 星期六,14,+7,+72,355,+0,0,+3,166,46.76%,+4,189,53.24%,+0,0,0.00%,+6,304,85.63%,+1,51,14.37%,+0,0,0.00%,+0,5,1.41%,+0,9,346,+0,50,55,300,#352未知感染源,,,
04月05日 星期日,15,+8,,363,+0,0,+4,170,46.83%,+4,193,53.17%,+0,0,0.00%,+8,312,85.95%,+0,51,14.05%,+0,0,0.00%,+0,5,1.38%,+0,9,354,+4,54,59,304,"#343←#356,#352←#301",,,
04月06日 星期一,15,+10,,373,+0,0,+6,176,47.18%,+4,197,52.82%,+0,0,0.00%,+9,321,86.06%,+1,52,13.94%,+0,0,0.00%,+0,5,1.34%,+0,9,364,+3,57,62,311,,,,
04月07日 星期二,15,+3,,376,+0,0,+1,177,47.07%,+2,199,52.93%,+0,0,0.00%,+3,324,86.17%,+0,52,13.83%,+0,0,0.00%,+0,5,1.33%,+0,9,367,+4,61,66,310,,,,
04月08日 星期三,15,+3,,379,+0,0,+0,177,46.70%,+3,202,53.30%,+0,0,0.00%,+2,326,86.02%,+1,53,13.98%,+0,0,0.00%,+0,5,1.32%,+1,10,369,+6,67,72,307,#379未知感染源,,,
04月09日 星期四,15,+1,,380,+0,0,+1,178,46.84%,+0,202,53.16%,+0,0,0.00%,+0,326,85.79%,+1,54,14.21%,+0,0,0.00%,+1,6,1.58%,+0,10,370,+13,80,86,294,,,,
04月10日 星期五,15,+2,,382,+0,0,+1,179,46.86%,+1,203,53.14%,+0,0,0.00%,+2,328,85.86%,+0,54,14.14%,+0,0,0.00%,+0,6,1.57%,+0,10,372,+11,91,97,285,,,,
04月11日 星期六,15,+3,+30,385,+0,0,+2,181,47.01%,+1,204,52.99%,+0,0,0.00%,+3,331,85.97%,+0,54,14.03%,+0,0,0.00%,+0,6,1.56%,+0,10,375,+8,99,105,280,,,,
04月12日 星期日,16,+3,,388,+0,0,+2,183,47.16%,+1,205,52.84%,+0,0,0.00%,+2,333,85.82%,+1,55,14.18%,+0,0,0.00%,+0,6,1.55%,+0,10,378,+10,109,115,273,,,,
04月13日 星期一,16,+5,,393,+0,0,+2,185,47.07%,+3,208,52.93%,+0,0,0.00%,+5,338,86.01%,+0,55,13.99%,+0,0,0.00%,+0,6,1.53%,+0,10,383,+5,114,120,273,,,,
04月14日 星期二,16,+0,,393,+0,0,+0,185,47.07%,+0,208,52.93%,+0,0,0.00%,+0,338,86.01%,+0,55,13.99%,+0,0,0.00%,+0,6,1.53%,+0,10,383,+10,124,130,263,,,,
04月15日 星期三,16,+2,,395,+0,0,+0,185,46.84%,+2,210,53.16%,+0,0,0.00%,+2,340,86.08%,+0,55,13.92%,+0,0,0.00%,+0,6,1.52%,+0,10,385,+13,137,143,252,,,,
04月16日 星期四,16,+0,,395,+0,0,+0,185,46.84%,+0,210,53.16%,+0,0,0.00%,+0,340,86.08%,+0,55,13.92%,+0,0,0.00%,+0,6,1.52%,+0,10,385,+18,155,161,234,,,,
04月17日 星期五,16,+0,,395,+0,0,+0,185,46.84%,+0,210,53.16%,+0,0,0.00%,+0,340,86.08%,+0,55,13.92%,+0,0,0.00%,+0,6,1.52%,+0,10,385,+11,166,172,223,,,,
04月18日 星期六,16,+3,+13,398,+0,0,+3,188,47.24%,+0,210,52.76%,+3,3,0.75%,+0,340,85.43%,+0,55,13.82%,+0,0,0.00%,+0,6,1.51%,+3,13,385,+12,178,184,214,敦睦未知感染源,,,
04月19日 星期日,17,+22,,420,+0,0,+20,208,49.52%,+2,212,50.48%,+21,24,5.71%,+1,341,81.19%,+0,55,13.10%,+0,0,0.00%,+0,6,1.43%,+21,34,386,+11,189,195,225,敦睦未知感染源,,,
04月20日 星期一,17,+2,,422,+0,0,+0,208,49.29%,+2,214,50.71%,+0,24,5.69%,+2,343,81.28%,+0,55,13.03%,+0,0,0.00%,+0,6,1.42%,+0,34,388,+14,203,209,213,,,,
04月21日 星期二,17,+3,,425,+0,0,+2,210,49.41%,+1,215,50.59%,+3,27,6.35%,+0,343,80.71%,+0,55,12.94%,+0,0,0.00%,+0,6,1.41%,+3,37,388,+14,217,223,202,,,,
04月22日 星期三,17,+1,,426,+0,0,+1,211,49.53%,+0,215,50.47%,+1,28,6.57%,+0,343,80.52%,+0,55,12.91%,+0,0,0.00%,+0,6,1.41%,+1,38,388,+19,236,242,184,,,,
04月23日 星期四,17,+1,,427,+0,0,+1,212,49.65%,+0,215,50.35%,+1,29,6.79%,+0,343,80.33%,+0,55,12.88%,+0,0,0.00%,+0,6,1.41%,+1,39,388,+17,253,259,168,,,,
04月24日 星期五,17,+1,,428,+0,0,+1,213,49.77%,+0,215,50.23%,+1,30,7.01%,+0,343,80.14%,+0,55,12.85%,+0,0,0.00%,+0,6,1.40%,+1,40,388,+11,264,270,158,,,,
04月25日 星期六,17,+1,+31,429,+0,0,+1,214,49.88%,+0,215,50.12%,+1,31,7.23%,+0,343,79.95%,+0,55,12.82%,+0,0,0.00%,+0,6,1.40%,+1,41,388,+11,275,281,148,,,,
04月26日 星期日,18,+0,,429,+0,0,+0,214,49.88%,+0,215,50.12%,+0,31,7.23%,+0,343,79.95%,+0,55,12.82%,+0,0,0.00%,+0,6,1.40%,+0,41,388,+6,281,287,142,,,,
04月27日 星期一,18,+0,,429,+0,0,+0,214,49.88%,+0,215,50.12%,+0,31,7.23%,+0,343,79.95%,+0,55,12.82%,+0,0,0.00%,+0,6,1.40%,+0,41,388,+9,290,296,133,,,,
04月28日 星期二,18,+0,,429,+0,0,+0,214,49.88%,+0,215,50.12%,+0,31,7.23%,+0,343,79.95%,+0,55,12.82%,+0,0,0.00%,+0,6,1.40%,+0,41,388,+17,307,313,116,,,,
04月29日 星期三,18,+0,,429,+0,0,+0,214,49.88%,+0,215,50.12%,+0,31,7.23%,+0,343,79.95%,+0,55,12.82%,+0,0,0.00%,+0,6,1.40%,+0,41,388,+4,311,317,112,,,,
04月30日 星期四,18,+0,,429,+0,0,+0,214,49.88%,+0,215,50.12%,+0,31,7.23%,+0,343,79.95%,+0,55,12.82%,+0,0,0.00%,+0,6,1.40%,+0,41,388,+11,322,328,101,,,,
05月01日 星期五,18,+0,,429,+0,0,+0,214,49.88%,+0,215,50.12%,+0,31,7.23%,+0,343,79.95%,+0,55,12.82%,+0,0,0.00%,+0,6,1.40%,+0,41,388,+2,324,330,99,,,,
05月02日 星期六,18,+3,+3,432,+0,0,+1,215,49.77%,+2,217,50.23%,+0,31,7.18%,+3,346,80.09%,+0,55,12.73%,+0,0,0.00%,+0,6,1.39%,+0,41,391,+0,324,330,102,,,,
05月03日 星期日,19,+4,,436,+4,4,+0,215,49.31%,+0,217,49.77%,+4,35,8.03%,+0,346,79.36%,+0,55,12.61%,+0,0,0.00%,+0,6,1.38%,+4,45,391,+8,332,338,98,,,,
05月04日 星期一,19,+2,,438,+1,5,+0,215,49.09%,+1,218,49.77%,+1,36,8.22%,+1,347,79.22%,+0,55,12.56%,+0,0,0.00%,+0,6,1.37%,+1,46,392,+2,334,340,98,,,,
05月05日 星期二,19,+0,,438,+0,5,+0,215,49.09%,+0,218,49.77%,+0,36,8.22%,+0,347,79.22%,+0,55,12.56%,+0,0,0.00%,+0,6,1.37%,+0,46,392,+0,334,340,98,,,,
05月06日 星期三,19,+1,,439,+0,5,+0,215,48.97%,+1,219,49.89%,+0,36,8.20%,+1,348,79.27%,+0,55,12.53%,+0,0,0.00%,+0,6,1.37%,+0,46,393,+5,339,345,94,,,,
05月07日 星期四,19,+1,,440,+0,5,+0,215,48.86%,+1,220,50.00%,+0,36,8.18%,+1,349,79.32%,+0,55,12.50%,+0,0,0.00%,+0,6,1.36%,+0,46,394,+8,347,353,87,,,,
05月08日 星期五,19,+0,,440,+0,5,+0,215,48.86%,+0,220,50.00%,+0,36,8.18%,+0,349,79.32%,+0,55,12.50%,+0,0,0.00%,+0,6,1.36%,+0,46,394,+8,355,361,79,,,,
05月09日 星期六,19,+0,+8,440,+0,5,+0,215,48.86%,+0,220,50.00%,+0,36,8.18%,+0,349,79.32%,+0,55,12.50%,+0,0,0.00%,+0,6,1.36%,+0,46,394,+6,361,367,73,,,,
05月10日 星期日,20,+0,,440,+0,5,+0,215,48.86%,+0,220,50.00%,+0,36,8.18%,+0,349,79.32%,+0,55,12.50%,+0,0,0.00%,+1,7,1.59%,+0,46,394,+5,366,373,67,,,,
05月11日 星期一,20,+0,,440,+0,5,+0,215,48.86%,+0,220,50.00%,+0,36,8.18%,+0,349,79.32%,+0,55,12.50%,+0,0,0.00%,+0,7,1.59%,+0,46,394,+2,368,375,65,,,,
05月12日 星期二,20,+0,,440,+0,5,+0,215,48.86%,+0,220,50.00%,+0,36,8.18%,+0,349,79.32%,+0,55,12.50%,+0,0,0.00%,+0,7,1.59%,+0,46,394,+4,372,379,61,,,,
05月13日 星期三,20,+0,,440,+0,5,+0,215,48.86%,+0,220,50.00%,+0,36,8.18%,+0,349,79.32%,+0,55,12.50%,+0,0,0.00%,+0,7,1.59%,+0,46,394,+3,375,382,58,,,,
05月14日 星期四,20,+0,,440,+0,5,+0,215,48.86%,+0,220,50.00%,+0,36,8.18%,+0,349,79.32%,+0,55,12.50%,+0,0,0.00%,+0,7,1.59%,+0,46,394,+8,383,390,50,,,,
